index,category,title,question,group,url,contact,answer
0,неполная занятость,Схемы контроля неполного рабочего времени (1) Запрещенные категории,"Считаете ли вы, что данное постановление Academia Sinica имеет наибольшее влияние на исследователей и научных работников? Могут ли они быть ограничены из-за этого положения? Почему?",персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Согласно правилам Academia Sinica, исследователям и научным работникам не разрешается одновременно занимать другие государственные должности или сертифицированные должности, в противном случае они будут наказаны. Это означает, что они не могут быть представителями общественности, государственными служащими в центральных и местных органах власти или выполнять служебные обязанности в соответствии с законом. Это может повлиять на их участие в общественных делах или процессе принятия решений в государственных органах.

Исследователям и научным работникам Academia Sinica не разрешается одновременно занимать должности в коммерческих предприятиях, за исключением тех, которые имеют одобрение. Это может повлиять на их участие в деловой деятельности или предпринимательстве."
1,неполная занятость,Образцы контроля неполного рабочего времени (2) Специальная категория разрешений,"Итак, что вы думаете о форме контроля неполного рабочего времени (2) специальной категории лицензии Academia Sinica? Какие коммерческие должности разрешает занимать исследователям и техническим специалистам Academia Sinica?",персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Согласно положениям Academia Sinica, исследователи и научные сотрудники могут занимать следующие должности на коммерческих предприятиях после получения одобрения:
(1) Назначаются агентствами (институтами) по управлению публичными акциями для представления публичных акций или выбираются для одновременной работы в качестве директоров, наблюдателей или аналогичных должностей в государственных предприятиях с прямыми или косвенными инвестициями.
(2) Основной поставщик технологий НИОКР выступает в качестве директора новой начинающей компании, у которой есть контракт на передачу технологий с Academia Sinica, причем совпадающий срок должен находиться в пределах срока действия контракта.
(3) Главный"
2,неполная занятость,Образцы контроля неполного рабочего времени (2) Специальная категория разрешений,а? оно проводное? Все еще находите это невероятным? Или есть другие идеи?,персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"оно проводное? Все еще находите это невероятным? Или есть другие идеи?

Тон: Удивленный, странный, невероятный, другие мысли.

Причина: Удивительно и невероятно, что исследователи и научные сотрудники Academia Sinica были одобрены Academia Sinica для занятия должностей в коммерческих предприятиях. Возможно, в целях развития сотрудничества между промышленностью и университетами Academia Sinica подписала контракты о сотрудничестве с коммерческими предприятиями, что позволило исследователям и техническим специалистам Academia Sinica участвовать в создании новых предприятий или выступать в качестве независимых директоров. Возможно, Academia Sinica пытается поддержать научные исследования."
3,неполная занятость,Образцы контроля неполного рабочего времени (2) Специальная категория разрешений,"Эм? Как дела? Хотите узнать больше о том, как выглядит управление неполным рабочим днем?",персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Исследователи и научные специалисты Academia Sinica могут занимать должности в коммерческих предприятиях на основании должностей, утвержденных Academia Sinica, но должны соблюдать соответствующие правила. включать:

*Назначен органом по управлению публичным капиталом для представления публичных акций или выбран для одновременной работы в качестве директоров, руководителей или аналогичных должностей в государственных предприятиях с прямым или косвенным инвестированием.
*Основной поставщик технологий НИОКР выступает в качестве директора новой начинающей компании, у которой есть контракт на передачу технологий с Academia Sinica, причем совпадающий срок должен находиться в пределах срока действия контракта.
*основной"
4,неполная занятость,Образцы контроля неполного рабочего времени (2) Специальная категория разрешений,"ой? Итак, знаете ли вы, кто может работать на неполный рабочий день в Academia Sinica? Какую роль может выполнять ключевой поставщик технологий НИОКР?",персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Согласно положениям Academia Sinica, исследователи и научные сотрудники могут занимать следующие должности на коммерческих предприятиях после получения одобрения:

1. Назначаются агентствами (институтами) по управлению публичными акциями для представления публичных акций или выбираются для одновременной работы в качестве директоров, наблюдателей или аналогичных должностей в государственных предприятиях с прямыми или косвенными инвестициями.
2. Основной поставщик технологий НИОКР должен выступать в качестве директора новой начинающей компании, у которой есть контракт на передачу технологий с Academia Sinica, причем совпадающий срок должен находиться в пределах срока действия контракта.
3. Основные технологии НИОКР"
5,неполная занятость,Форма контроля неполного рабочего времени (2) Специальная категория разрешения – Регистрация увольнения,"Затем вам необходимо задать следующие вопросы, исходя из позиций и описаний услуг, используя ежедневный тон голоса:",персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Хорошо, тогда я, наверное, отвечу вам нормальным тоном! Прежде всего, если исследователи и научные сотрудники Academia Sinica хотят работать на коммерческих предприятиях до вступления в должность, они должны подать заявление о регистрации прекращения; если регистрация прекращения не будет завершена в установленный срок и с согласия Academia Sinica, он может быть продлен, однако в течение периода продления вы не сможете участвовать в операциях и получать вознаграждение. Поэтому, если вы хотите работать на коммерческом предприятии, вам необходимо сначала подать заявку на бесплатную регистрацию, иначе вы сможете сделать только"
6,неполная занятость,Форма контроля неполного рабочего времени (2) Специальная категория разрешения – Регистрация увольнения,"Если исследователям и научным работникам Academia Sinica необходимо подать заявление об увольнении, прежде чем занять должность в коммерческом предприятии, то почему?",персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Согласно положениям Academia Sinica, если исследователям и научным работникам Academia Sinica необходимо занимать должности в коммерческих предприятиях до вступления в должность, они должны подать заявление о регистрации прекращения деятельности. Это связано с тем, что Academia Sinica является консорциумом, созданным с правительственными пожертвованиями и подлежит государственному надзору.Правительство должно защищать национальные интересы и общественные интересы.Интересы, необходимо регулировать назначение исследователей и научных сотрудников. Таким образом, Academia Sinica требует от исследователей и технических специалистов, которым необходимо занимать должности в коммерческих предприятиях, подать заявление об увольнении, прежде чем вступить в свои должности."
7,неполная занятость,Форма контроля неполного рабочего времени (2) Специальная категория разрешения – Регистрация увольнения,Почему необходимо завершить регистрацию расторжения в течение 3 месяцев?,персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"В соответствии с правилами Academia Sinica, исследователи и научные сотрудники, завершившие регистрацию отставки до вступления в должность, должны подать письменное заявление об отставке при вступлении в должность, завершить регистрацию прекращения в течение 3 месяцев и представить соответствующие сертификационные документы в Academia Sinica. . Это связано с тем, что Academia Sinica является государственным учреждением и имеет это положение для обеспечения административной нейтральности исследователей и технических специалистов. Если регистрация прекращения не может быть завершена в течение установленного срока и с согласия Academia Sinica, период может быть продлен."
8,неполная занятость,Форма контроля неполного рабочего времени (2) Специальная категория разрешения – Регистрация увольнения,"Если регистрация прекращения не может быть завершена должным образом из-за особых обстоятельств, на какой срок она может быть продлена?",персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Согласно правилам Academia Sinica, если регистрация прекращения не может быть завершена должным образом из-за особых обстоятельств, срок, который может быть продлен, составляет 3 месяца."
9,неполная занятость,Форма контроля неполного рабочего времени (2) Специальная категория разрешения – Регистрация увольнения,После завершения решения,персонал,https://www.sinica.edu.tw/ch/articles/332,Кадровый отдел Академии Синица,"Используйте следующие инструкции, чтобы ответить на вопросы, используя повседневную речь:

Прежде чем приступить к своим должностям, исследователи и научно-исследовательские специалисты Academia Sinica должны подать заявление о регистрации на работу, если они работали на коммерческих предприятиях. Самое позднее по прибытии необходимо подать письменное заявление об отставке, а регистрация прекращения должна быть завершена в течение 3 месяцев, а соответствующие подтверждающие документы должны быть представлены в Academia Sinica. Если регистрация прекращения не может быть завершена должным образом из-за особых обстоятельств и с согласия Academia Sinica, период может быть продлен, но окончательный срок"
