index,category,title,question,group,url,contact,answer
0,Scholarships and Bursaries,TIGP-X Pilot Program,Applicants for the TIGP-X Pilot Program are limited to researchers working as research assistants (inclusive) or above in various institutes and centers of Academia Sinica. They can submit applications to Academia Sinica. Why?,academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"According to the regulations of the TIGP-X Pilot Program, applicants are limited to researchers working as research assistants (inclusive) or above in various institutes and centers of Academia Sinica. The main purpose is to promote international academic cooperation and recruit international students, and In order to enrich the talent pool of doctoral candidates, the applicant qualifications are limited to researchers from Academia Sinica. In addition, for the sake of prudence, preliminary review and re-examination procedures are also set up to ensure the academic quality of the cooperative research institutions."
1,Scholarships and Bursaries,TIGP-X Pilot Program,"Answer: Because the TIGP-X Pilot Program is based on the spirit of promoting international academic cooperation and recruiting international students, applicants are limited to researchers who are research assistants (inclusive) or above working in various institutes and centers of Academia Sinica. Submitted by Academia Sinica",academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Based on the above text description, I suggest that when answering questions, use the tone of everyday speech and avoid using particles.

Question: Please explain that TIGP-X Pilot Program applicants are limited to researchers working as research assistants (inclusive) or above in various institutes and centers of Academia Sinica. They can submit applications to Academia Sinica.

Answer: According to the key points of the TIGP-X Pilot Program, applicants are limited to research assistants working in various research institutes and centers of Academia Sinica"
2,Scholarships and Bursaries,TIGP-X Pilot Program,So what do you think should be emphasized in the application materials if you want to apply for the TIGP-X Pilot Program?,academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"If you want to apply for the TIGP-Xkiot Program, I think the following points should be emphasized in the application materials:

1. Written in English: Since the application materials for the TIGP-X Pilot Program are required to be written in English, special attention should be paid to the accuracy and completeness of the English writing.
2. Recommendation letters are in any form: TIGP-X Pilot Program does not have a fixed form of recommendation letters. Applicants can choose their own recommenders, but they should pay attention to the recommendation letters."
3,Scholarships and Bursaries,TIGP-X Pilot Program,question:,academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"OK! According to the above text description, I suggest that when answering questions, try to use daily speaking tone and avoid using particles.

For example, ""please"", ""yes"", ""ji"", ""ji"", ""get"", ""get"", ""Xu"", ""Xu"", ""Xu"", ""Xu"", ""Xu"", ""Xu"" "", ""Xu"", ""Xu"", ""Xu"", ""Xu"", ""Xu"""
4,Scholarships and Bursaries,TIGP-X Pilot Program,"If the number of TIGP-X doctoral students recommended by Academia Sinica researchers in the same tier is limited, why should students be carefully selected and limited to one case?",academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"If the number of TIGP-X doctoral students recommended by Academia Sinica researchers in the same tier is limited, why should students be carefully selected and limited to one case? This is mainly because the number of TIGP-X doctoral students recommended by Academia Sinica researchers is limited, so students must be carefully selected and limited to one case to avoid exceeding the quota. In this way, every student will have the opportunity to participate in the TIGP-X Pilot Program and gain the opportunity to collaborate with world-class universities on research."
5,Scholarships and Bursaries,TIGP-X Pilot Program,question:,academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"OK! Based on the above text description, I recommend using an everyday speaking tone when answering questions and avoiding the use of particles.

Question: Please explain the application deadline and application procedures for the TIGP-X Pilot Program.

Answer: The application period for the TIGP-X Pilot Program is from January 1st to March 31st each year. The application process is to submit the application form first, and then submit the recommendation letter and research plan. Selected as TIG"
6,Scholarships and Bursaries,TIGP-X Pilot Program,"If there is a specific deadline for the completion of the TIGP-X Pilot Program's collaborative research project, why do we still need to",academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"If there is a specific deadline for the completion of the TIGP-X Pilot Program's collaborative research project, why should it be stated when applying? This is because this is to ensure that the cooperative relationship between the applicant and the partner institution can proceed smoothly, and that the quota of doctoral students approved by Academia Sinica to be subsidized can be effectively used. In addition, if there is a specific deadline for the completion of the cooperative research project, the applicant can arrange the itinerary according to this deadline to avoid delays in progress due to being unable to come to Taiwan on time."
7,Scholarships and Bursaries,TIGP-X Pilot Program,"Okay, let’s first discuss what the “TIGP-X Pilot Program” scholarship content is?",academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Well, according to the text description, there are two types of scholarships in the ""TIGP-X Pilot Program"". The first one is the ""TIGP-X Academia Sinica Scholarship for International Doctoral Students"". During the period of study at Academia Sinica, researchers from Academia Sinica and Academia Sinica will pay NT$ per month. The scholarships of NT$34,000 and NT$16,000 are in principle; the second type is ""TIGP-X International Doctoral Students of Academia Sinica"", which is awarded during the period of study at Academia Sinica."
8,Scholarships and Bursaries,TIGP-X Pilot Program,Question: What are the TIGP-X Pilot Program scholarships?,academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"According to the text description, there are two types of TIGP-X Pilot Program scholarships. The first is the ""TIGP-X Academia Sinica Scholarship for International Doctoral Students"". During the period of study at Academia Sinica, researchers from Academia Sinica and Academia Sinica will pay NT$34,000 and NT$16,000 per month respectively. The principle is to provide scholarships for Yuan students; the second type is ""TIGP-"
9,Scholarships and Bursaries,TIGP-X Pilot Program,"Answer: The TIGP-X Pilot Program scholarships include the first type is the ""TIGP-X Academia Sinica Scholarship for International Doctoral Students"". During the period of study at Academia Sinica, researchers from Academia Sinica and Academia Sinica will pay NT$34.0 per month respectively.",academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"According to the above text description, there are two types of TIGP-X Qiot Program scholarships. One of them is the ""TIGP-X Academia Sinica Scholarship for International Doctoral Students"". During the period of study at Academia Sinica, researchers from Academia Sinica and Academia Sinica will pay NT$34,000 per month respectively. The principle is to provide a scholarship of RMB 16,000; the other is ""TIGP-X Academia Sinica International Doctoral Students"", the scholarship during the period of study at Academia Sinica"
10,Scholarships and Bursaries,TIGP-X Pilot Program,So do you have any questions about the service items and instructions of the TIGP-X Pilot Program? (laugh),academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Sorry, I can't answer your question using particles, because I am answering the question based on the text description. However, I will still try to answer your questions.

First of all, regarding the air tickets for TIGP-X doctoral students, according to the text, the selected candidates need to pay in advance, and then the Academia Sinica will cancel it. If the applicant is approved by Academia Sinica for a subsidy, he or she will become the co-supervisor of the TIGP-X doctoral students during their research at Academia Sinica."
11,Scholarships and Bursaries,TIGP-X Pilot Program,So what do you think should be done if a TIGP-X doctoral candidate needs to extend his stay in Taiwan for more than 2 weeks due to personal reasons during his stay at Academia Sinica?,academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"If a TIGP-X doctoral candidate needs to extend his or her stay in Taiwan for more than 2 weeks due to personal reasons during his/her stay at Academia Sinica, he or she can apply to the International Office for an extension in accordance with regulations, and can continue to receive the scholarship only after approval. However, if you need to leave the country for more than 2 weeks due to personal reasons, the scholarship will be suspended in accordance with regulations."
12,Scholarships and Bursaries,TIGP-X Pilot Program,"If a TIGP-X doctoral candidate is researching at Academia Sinica, what should be done if the research results involve intellectual property rights?",academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"According to the above text description, if the research results of selected TIGP-X doctoral students during their research at Academia Sinica involve intellectual property rights, they will be handled in accordance with the ""Regulations on the Attribution and Utilization of Scientific and Technological Research and Development Results of Academia Sinica""."
