index,category,title,question,group,url,contact,answer
0,Actividades de divulgación científica.,Sala de conferencias Zhongyan──Conferencias de divulgación científica entre condados y ciudades,"¡Vaya! ¡Muy divertido! La Academia Sínica en realidad tiene una ""Sala de conferencias de la Academia Sínica - Conferencias de popularización científica en condados y ciudades"", donde va directamente a los condados y ciudades para brindar informes de investigación al público. (¿sospechar?)",Vida,None,Señorita Guo 2633,"¡Vaya! ¡bien! Academia Sinica realmente tiene una ""Sala de conferencias de Academia Sinica - Conferencias de popularización científica en condados y ciudades"", donde los investigadores de la academia irán a varios condados y ciudades para compartir los resultados de sus investigaciones. (¡Pulgares hacia arriba!)

¡Vaya! ¡He estado en 9 condados y ciudades! El número promedio de solicitantes para cada sesión es 300 y el número promedio de vistas del video del discurso es casi 40.000 veces, ¡y el número más alto es casi 70.000 veces! (¡choque!)

¡Vaya! ¡El primero de este año se llevará a cabo en la escuela secundaria Wuling en Taoyuan! Información detallada de registro"
1,Actividades de divulgación científica.,Sala de conferencias Zhongyan──Conferencias de divulgación científica entre condados y ciudades,"¡Ah, escuché que ya hemos ido a condados y ciudades y que hay tanta gente inscribiéndose en cada sesión! (¿Eh?) Hay un promedio de 300 personas inscribiéndose y los videos de discursos son extremadamente populares, ¡con el mayor número de vistas siendo casi 70,000 veces! (Conmocionado)",Vida,None,Señorita Guo 2633,"¡DE ACUERDO! La Academia Sínica ha celebrado la ""Sala de conferencias de la Academia Sínica: conferencias de divulgación científica entre condados y ciudades"" desde 2017, para que los estudiantes de otros condados y ciudades puedan escuchar las conferencias de investigación de la Academia Sínica sin verse afectados por factores como el transporte y las zonas urbanas y rurales. disparidad. Hasta ahora ha visitado 9 condados y ciudades, con un promedio de 300 personas inscribiéndose para cada sesión y un promedio de casi 40.000 vistas de los videos de los discursos, siendo la más alta casi 70.000 veces. En el futuro, Academia Sínica continuará planificando y realizando eventos, y dará prioridad a realizarlos en condados y ciudades que no ha visitado antes."
2,Actividades de divulgación científica.,Sala de conferencias Zhongyan──Conferencias de divulgación científica entre condados y ciudades,"Vaya, primero esta vez",Vida,None,Señorita Guo 2633,"¡bien! Según la descripción del texto, esta ""Conferencia de la Academia Sínica - Conferencia de popularización de la ciencia entre condados y ciudades"" es dirigida por investigadores de la Academia Sínica para compartir los resultados de la investigación con el público. Hasta ahora ha visitado 9 condados y ciudades. planeado y llevado a cabo en el futuro, dando prioridad a los condados que aún no han sido visitados. El primer evento se llevará a cabo en la escuela secundaria Taoyuan Wuling. La información detallada sobre la inscripción se anunciará en el sitio web oficial y en la cuenta oficial de Facebook de la Academia Sínica."
3,Actividades de divulgación científica.,El campus está abierto.,"¡Genial! ¿La Academia Sínica realiza ""visitas abiertas al campus"" cada octubre?",Vida,None,Señorita Wang 9727,"¡bien! La Academia Sínica ha celebrado la ""Casa Abierta del Campus"" cada mes de octubre desde 1992 y se ha celebrado durante 25 años."
4,Actividades de divulgación científica.,El campus está abierto.,¿Qué actividades de divulgación científica lanzará cada centro de investigación de la Academia Sínica?,Vida,None,Señorita Wang 9727,"Según la descripción del texto, cada centro de investigación de la Academia Sínica lanzará una variedad de actividades de divulgación científica, que incluyen conferencias, talleres, exhibiciones, apreciación de videos, experiencias interactivas, artesanías y juegos para padres e hijos, etc."
5,Actividades de divulgación científica.,El campus está abierto.,¿Algunas actividades del día del evento también estarán abiertas a la participación en línea?,Vida,None,Señorita Wang 9727,"Según la descripción del texto, la ""Casa Abierta Escolar"" de este año se llevará a cabo el 21 de octubre, día sábado, y cada centro lanzará diversas actividades de divulgación científica, como conferencias, talleres, exposiciones, apreciación de videos y experiencias interactivas. manualidades y juegos entre padres e hijos, etc. Algunas actividades también están abiertas a la participación en línea. El público puede consultar el contenido del evento y la información relacionada con el registro en el sitio web oficial de Academia Sinica."
6,Actividades de divulgación científica.,El campus está abierto.,"¿Cuándo se anunciará la información detallada sobre el evento de la ""Casa Abierta del Hospital"" de este año?",Vida,None,Señorita Wang 9727,"Según la página ""Actividades de puertas abiertas del campus"" en el sitio web oficial de Academia Sinica, el 21 de octubre se anunciará información detallada sobre las ""Actividades de puertas abiertas del campus"" de este año."
7,Actividades de divulgación científica.,El campus está abierto.,¿Hay alguna actividad interactiva específica para cada edad planificada el día del evento para que los niños experimenten la diversión de la ciencia?,Vida,None,Señorita Wang 9727,"Según el texto, la respuesta es sí. Academia Sinica celebra cada año la ""Casa Abierta Institucional"" y planifica actividades interactivas específicas para cada edad para permitir que los niños experimenten la diversión de la ciencia a través de juegos. Este año no es la excepción, se realizarán actividades de divulgación científica diseñadas para los más pequeños."
8,Actividades de divulgación científica.,El campus está abierto.,¿Cómo pueden las personas registrarse para participar?,Vida,None,Señorita Wang 9727,"Con base en la siguiente descripción del texto, responda las preguntas en un tono de conversación diario de la siguiente manera:

""Si desea participar en las ""actividades de visita abierta del campus"", puede consultar el ""contenido de la actividad"" y la ""información de registro"" en el ""sitio web oficial de apertura del campus"". El sitio web también proporciona un enlace a ""eventos pasados"" y el público puede consultar la información de la actividad en los últimos tres años.”"
9,Actividades de divulgación científica.,fiesta del conocimiento,"¡Ah! La “Serie de conferencias sobre ciencia popular” de la Academia Sinica es realmente buena y se lleva a cabo desde 1993. ¿Sabes cuántas personas se han beneficiado? 108 años después, los videos de discursos o transmisiones en vivo pueden convertirse en contenido audiovisual de aprendizaje y subirse a la cuenta oficial de YouTube. ¡Qué conveniente! Si la gente quiere ver el contenido de discursos anteriores, ¿adónde más pueden acudir?",Vida,None,Señorita Wu 9726,"¡DE ACUERDO! La Academia Sínica ha celebrado las ""Conferencias de popularización científica de la Fiesta del Conocimiento"" y las ""Conferencias de Popularización Científica del difunto Decano"" todos los años desde 1993, y se ha organizado en la ""Serie de Conferencias de Popularización Científica de la Fiesta del Conocimiento"" desde el año 108 de la República de China. Estas conferencias invitan a investigadores de diferentes campos de investigación dentro y fuera del instituto a dar conferencias. El contenido es animado e interesante, y cada sesión atrae a cientos de residentes de la comunidad y jóvenes estudiantes. En los últimos años, Academia Sinica ha grabado o transmitido conferencias en vivo y producido contenido de aprendizaje audiovisual."
