index,category,title,question,group,url,contact,answer
0,奨学金と奨学金,TIGP-X パイロット プログラム,TIGP-X パイロットプログラムへの応募者は、中央研究院のさまざまな機関やセンターで研究助手（含む）以上の職に就いている研究者に限定されており、中央研究院に応募することができます。,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,TIGP-Xパイロットプログラムの規定によれば、応募者は中央研究院の各機関やセンターで研究助手（含む）以上の職に就いている研究者に限定されており、国際的な学術協力の推進と留学生の募集を主な目的としています。博士候補者の人材を充実させるため、応募資格を中央研究院の研究者に限定します。また、協力研究機関の学術的質を確保するため、慎重を期して事前審査及び再審査の手続きも設けられています。
1,奨学金と奨学金,TIGP-X パイロット プログラム,回答: TIGP-X パイロットプログラムは、国際的な学術協力の促進と留学生の募集の精神に基づいているため、応募者は中央研究院の各機関やセンターに勤務する研究助手（含む）以上の研究者に限定されます。中央研究院,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,"上記のテキストの説明に基づいて、質問に答えるときは、日常の会話の調子を使用し、助詞の使用を避けることをお勧めします。

質問: TIGP-X パイロットプログラムの応募者は、中央研究院のさまざまな機関やセンターで研究助手（含む）以上の職に就いている研究者に限定されており、中央研究院に応募できることを説明してください。

回答: TIGP-X パイロット プログラムの要点によれば、応募者はさまざまな研究機関や中央研究院のセンターで働く研究助手に限定されています。"
2,奨学金と奨学金,TIGP-X パイロット プログラム,では、TIGP-X パイロット プログラムに応募したい場合、応募書類で何を重視すべきだと思いますか?,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,"TIGP-Xkiot プログラムに応募したい場合は、応募書類で次の点を重視する必要があると思います。

1. 英語で作成する: TIGP-X パイロット プログラムの申請書類は英語で作成する必要があるため、英語での作成の正確性と完全性に特別な注意を払う必要があります。
2. 推薦状は任意の形式: TIGP-X パイロット プログラムには決まった形式の推薦状はなく、応募者は自分で推薦者を選択できますが、推薦状には注意する必要があります。"
3,奨学金と奨学金,TIGP-X パイロット プログラム,問題：,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,"OK! 上記のテキストの説明によると、質問に答えるときは、日常的な話し口調を使用し、助詞の使用を避けるようにすることをお勧めします。

例: 「お願いします」、「はい」、「じ」、「じ」、「もらう」、「もらう」、「Xu」、「Xu」、「Xu」、「Xu」、「Xu」、「Xu」 「、徐」、「徐」、「徐」、「徐」、「徐」"
4,奨学金と奨学金,TIGP-X パイロット プログラム,同じ層の中央研究院の研究者が推薦する TIGP-X 博士課程学生の数が限られているのであれば、なぜ学生を慎重に選択し、1 件に限定する必要があるのでしょうか?,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,同じ層の中央研究院の研究者が推薦する TIGP-X 博士課程学生の数が限られているのであれば、なぜ学生を慎重に選択し、1 件に限定する必要があるのでしょうか?これは主に、中央研究院の研究者が推薦する TIGP-X 博士課程学生の数が限られているためであり、定員を超えないように学生を慎重に選択し、1 件に限定する必要があります。このようにして、すべての学生が TIGP-X パイロット プログラムに参加し、世界クラスの大学と研究で協力する機会を得ることができます。
5,奨学金と奨学金,TIGP-X パイロット プログラム,問題：,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,"OK! 上記のテキストの説明に基づいて、質問に答えるときは日常的な話し口調を使用し、助詞の使用を避けることをお勧めします。

質問: TIGP-X パイロットプログラムの申請期限と申請手順について説明してください。

回答: TIGP-X パイロットプログラムの応募期間は、毎年 1 月 1 日から 3 月 31 日までで、申請手続きはまず申請書を提出し、その後推薦書と研究計画書を提出します。 TIGに選ばれました"
6,奨学金と奨学金,TIGP-X パイロット プログラム,TIGP-X パイロットプログラムの共同研究プロジェクトの完了に具体的な期限がある場合、なぜまだ完了する必要があるのでしょうか。,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,TIGP-X パイロットプログラムの共同研究プロジェクトの完了に具体的な期限がある場合、申請時にそれを明記する必要があるのはなぜですか?これは、申請者と相手機関との協力関係を円滑に進め、中央研究院が補助対象として認めた博士課程学生の定員を有効に活用するためである。さらに、共同研究プロジェクトの完了期限が定められている場合、申請者はその期限に従って旅程を手配することができ、時間通りに台湾に来られないことによる進行の遅れを避けることができます。
7,奨学金と奨学金,TIGP-X パイロット プログラム,さて、まずは「TIGP-Xパイロットプログラム」の奨学金の内容について説明しましょう。,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,"さて、本文の説明によると、「TIGP-Xパイロットプログラム」には2種類の奨学金があり、1つ目は「TIGP-X中央研究院留学生博士課程学生奨学金」です。 , 中央研究院と中央研究院の研究者は月額NT$を支払い、原則としてNT$34,000とNT$16,000の奨学金があり、2つ目は「TIGP-X国際中央研究院博士課程学生」で、期間中に授与されます。中央研究院で学ぶ。"
8,奨学金と奨学金,TIGP-X パイロット プログラム,質問: TIGP-X パイロット プログラムの奨学金とは何ですか?,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,"本文の説明によると、TIGP-Xパイロットプログラムの奨学金には2種類あり、1つ目は「TIGP-X中央研究院留学生博士課程学生奨学金」で、中央研究院在学中に中央研究院と学術院の研究者が奨学金を受けることができる。 Sinica は月額 NT$34,000 と NT$16,000 をそれぞれ支払います。原則は元の学生に奨学金を提供することであり、2 番目のタイプは「TIGP-"
9,奨学金と奨学金,TIGP-X パイロット プログラム,回答: TIGP-X 試行プログラムの奨学金には、1 つ目の「TIGP-X 中央研究院留学生博士課程学生奨学金」があり、中央研究院と中央研究院の研究者は、在学期間中、月額 NT$34.0 を支払います。それぞれ。,アカデミック,https://dia.sinica.edu.tw/pages/3896,沈徳秀 02-27871412,"上記本文説明によると、TIGP-X Qiot Program 奨学金には 2 種類あり、そのうちの 1 つは「TIGP-X 中央研究院博士課程留学生奨学金」です。奨学金は、中央研究院と中央研究院がそれぞれ月額34,000台湾ドルを支給し、原則16,000元の奨学金と、中央研究院在学期間中の奨学金「TIGP-X中央研究院国際博士課程学生」を支給する。"
