index,category,title,question,group,url,contact,answer
387,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,Как в основном регламентируются способы владения и использования результатов научно-технических исследований и разработок Academia Sinica?,академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Этот регламент в основном описывает, как Academia Sinica управляет своим бюджетом и доходами от технологических исследований и разработок. Они регулируются в соответствии со статьями 6 и 13 Основного закона о науке и технологиях. В основном здесь обсуждается, как справедливо и эффективно использовать результаты и преимущества научных исследований, принимая во внимание характер исследований, потенциал применения, социальное благосостояние, национальную безопасность и влияние на рынок. Помимо того, что результаты исследований и доходы Academia Sinica должны быть направлены в Национальный фонд развития науки и технологий, они останутся в рамках Academia Sinica, а затем будут переданы в фонды научных исследований аналогично бюджету дочерних подразделений."
388,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,"Что означает «принцип справедливости и эффективности», упомянутый в Основном законе науки и технологий?",академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Концепция «принципа справедливости и эффективности» означает, что в процессе атрибуции и применения результатов исследований и разработок и доходов от них необходимо учитывать долю вложенного капитала и труда, а также вклад в общее исследование. как характер результатов научно-технических исследований, потенциал применения, социальное благополучие, национальная безопасность и влияние на рынок. Значит, решая эти вопросы, мы должны делать это честно и в интересах всех сторон."
389,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,Предусматривает ли этот метод метод распределения доходов по результатам?,академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Да, в мерах упоминается, что распределение и использование результатов и доходов от них должно основываться на принципах справедливости и эффективности, принимая во внимание долю и вклад капитала и трудовых услуг. В то же время меры по распределению прибыли, ее предотвращению и другие вопросы должны единообразно планироваться и формулироваться Исполнительным Юанем. Часть, принадлежащая Academia Sinica, может быть выделена в фонд научных исследований в соответствии с бюджетом дочернего подразделения."
390,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,Включает ли эта мера управление правами интеллектуальной собственности?,академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Да, этот метод предназначен для эффективного управления научными и технологическими исследованиями и разработками, проводимыми Academia Sinica, включая права интеллектуальной собственности и доходы от результатов."
391,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,"Как обеспечить, чтобы результаты научно-технических исследований и разработок могли способствовать социальному благосостоянию или национальной безопасности?",академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Согласно пункту 3 статьи 6 Основного закона о науке и технологиях, необходимо учитывать характер, потенциал применения, влияние на социальное благосостояние и национальную безопасность результатов научных и технологических исследований и разработок, а также их влияние на рынок. Все они планируются и формулируются Исполнительным Юанем. Другими словами, цель, требования, сроки, объем, пропорция, методы управления и т. д. этих достижений должны быть рассмотрены и запланированы Исполнительным Юанем, чтобы гарантировать, что они могут способствовать социальному благосостоянию или национальной безопасности. Кроме того, каждый компетентный орган может также разрабатывать соответствующие законы и постановления для реализации этого положения."
392,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,"Каковы соответствующие правила, которым должны следовать различные компетентные органы при реализации этой меры?",академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","При реализации этой меры соответствующие правила, которым должны следовать различные компетентные органы, включают пункт 3 статьи 6 и пункт 4 статьи 13 Основного закона о науке и технологиях, а также правила владения и использования научных знаний. и результаты технологических исследований и разработок Академии Синика."
393,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,Часть результатов исследований и разработок Academia Sinica и ее доходов должны быть направлены в Национальный фонд развития науки и технологий. Что же делать с оставшейся частью?,академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Оставшаяся часть будет принадлежать самой Academia Sinica. Они будут следовать соответствующим правилам и использовать деньги для научных исследований и разработок. Сюда также входит управление и применение собственных прав интеллектуальной собственности, а также другие доходы от исследований и разработок."
394,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,Что означает «Меры по присвоению и использованию результатов научных и технологических исследований и разработок Academia Sinica»?,академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","«Методы атрибуции и использования результатов научных и технологических исследований и разработок Academia Sinica» относятся к различным знаниям, технологиям и работам, созданным сотрудниками Academia Sinica в результате их работы, а также к продуктам, схемам интегральных схем, компьютерное программное обеспечение и коммерческие продукты, производимые в академии.Конфиденциальность, профессиональные знания и другие технические данные, а также полученные таким образом отечественные и зарубежные патентные права, публикации Academia Sinica, а также другие права интеллектуальной собственности и все производные права. Он также отвечает за управление и использование результатов исследований и разработок, включая соответствующие консультации, консультации, обзор, применение, доходы, использование, передачу технологий, разрешение на использование, назначение, доверие, консультации по судебным разбирательствам, техническое обслуживание и т. д. Отдельно сформулированы методы управления и использования публикаций Academia Sinica. Что касается структур интегральных схем, компьютерного программного обеспечения и производных работ, таких как руководства и инструкции, они обрабатываются в соответствии с этим методом. Права интеллектуальной собственности, пожертвованные или размещенные Academia Sinica, также будут обрабатываться в соответствии с этим методом."
395,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,Что именно включают в себя «результаты исследований и разработок» в этом подходе?,академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","«Результаты исследований и разработок» в этом методе включают в себя знания, технологии, работы, полученные в результате работы персонала Academia Sinica, и продукцию, произведенную в институте. Также включает в себя схему интегральной схемы, компьютерное программное обеспечение, коммерческую тайну, профессиональные знания и другую техническую информацию. Кроме того, сюда также включены отечественные и зарубежные патентные права, публикации Academia Sinica, другие права интеллектуальной собственности и все полученные ими производные права."
396,правила интеллектуальной собственности,Атрибуция и методы применения результатов научно-технических исследований и разработок Академии Синика,Какие процессы включены в управление и применение результатов НИОКР?,академический,https://iptt.sinica.edu.tw/pages/1292,"Отдел интеллектуальной собственности, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Существует множество различных процессов управления и использования результатов НИОКР, включая переговоры, консультации, рассмотрение, применение, получение доходов, использование, передачу технологий, разрешение на использование, назначение, доверие, судебные консультации, обслуживание и связанные с правами на результаты НИОКР. Прочие сопутствующие вопросы."
