index,category,title,question,group,url,contact,answer
0,Activités scientifiques populaires,Salle de conférence Zhongyan──Conférences de vulgarisation scientifique à travers les comtés et les villes,"Oh! Tellement amusant! L'Academia Sinica dispose en fait d'une « Salle de conférence Academy Sinica - Conférences de vulgarisation scientifique dans les comtés et les villes », où elle se rend directement dans les comtés et les villes pour remettre des rapports de recherche au public ! (suspect?)",Vie,None,Mlle Guo 2633,"Oh! bien! L'Academia Sinica propose réellement une « Salle de conférence Academy Sinica - Conférences de vulgarisation scientifique dans les comtés et les villes », où les chercheurs de l'académie se rendront dans divers comtés et villes pour partager leurs résultats de recherche ! (Pouces vers le haut!)

Oh! Je suis allé dans 9 comtés et villes ! Le nombre moyen de candidats pour chaque session est de 300, et le nombre moyen de vues de la vidéo du discours est de près de 40 000 fois, le nombre le plus élevé étant de près de 70 000 fois ! (choc!)

Oh! Le premier cette année aura lieu au lycée Wuling à Taoyuan ! Informations détaillées sur l'inscription"
1,Activités scientifiques populaires,Salle de conférence Zhongyan──Conférences de vulgarisation scientifique à travers les comtés et les villes,"Ah, j'ai entendu dire que nous sommes déjà allés dans des comtés et des villes, et qu'il y a tellement de personnes qui s'inscrivent à chaque session ! (Hein ?) Il y a en moyenne 300 personnes qui s'inscrivent, et les vidéos de discours sont extrêmement populaires, le plus grand nombre de vues étant de près de 70 000 fois ! (Choqué)",Vie,None,Mlle Guo 2633,"D'ACCORD! L'Academia Sinica organise depuis 2017 la « Salle de conférence Academy Sinica — Conférences de vulgarisation scientifique à travers les comtés et les villes », afin que les étudiants d'autres comtés et villes puissent écouter les conférences de recherche de l'Academia Sinica sans être affectés par des facteurs tels que les transports et les relations urbaines-rurales. disparité. Jusqu'à présent, il a visité 9 comtés et villes, avec une moyenne de 300 personnes inscrites à chaque session et une moyenne de près de 40 000 visionnages des vidéos de discours, le plus élevé étant de près de 70 000 fois. À l’avenir, l’Academia Sinica continuera à planifier et à organiser des événements, et donnera la priorité à leur tenue dans des comtés et des villes qu’elle n’a pas visités auparavant."
2,Activités scientifiques populaires,Salle de conférence Zhongyan──Conférences de vulgarisation scientifique à travers les comtés et les villes,"Wow, 1er cette fois",Vie,None,Mlle Guo 2633,"bien! Selon la description du texte, cette ""Conférence de l'Academia Sinica - Conférence de vulgarisation scientifique à travers les comtés et les villes"" est menée par les chercheurs de l'Academia Sinica pour partager les résultats de la recherche avec le public. Jusqu'à présent, elle a visité 9 comtés et villes. Elle continuera à être planifiés et organisés à l'avenir, avec une priorité donnée aux comtés qui n'ont pas encore été visités. Le premier événement aura lieu au lycée Taoyuan Wuling. Les informations détaillées sur l'inscription seront annoncées sur le site officiel et le compte Facebook officiel de l'Academia Sinica."
3,Activités scientifiques populaires,Le campus est ouvert,C'est super! L'Academia Sinica organise-t-elle des « visites ouvertes de campus » chaque mois d'octobre ?,Vie,None,Mlle Wang 9727,"bien! L'Academia Sinica organise chaque année en octobre depuis 1992 la « Journée portes ouvertes du campus », et ce depuis 25 ans."
4,Activités scientifiques populaires,Le campus est ouvert,Quelles activités de vulgarisation scientifique seront lancées par chaque centre de recherche de l’Academia Sinica ?,Vie,None,Mlle Wang 9727,"Selon la description du texte, chaque centre de recherche de l'Academia Sinica lancera une variété d'activités de vulgarisation scientifique, notamment des conférences, des ateliers, des expositions, des appréciations vidéo, des expériences interactives, de l'artisanat et des jeux parents-enfants, etc."
5,Activités scientifiques populaires,Le campus est ouvert,Certaines activités le jour de l’événement seront-elles également ouvertes à la participation en ligne ?,Vie,None,Mlle Wang 9727,"Selon la description du texte, la « Journée portes ouvertes de l'école » de cette année aura lieu le 21 octobre, un samedi. Chaque centre lancera diverses activités de vulgarisation scientifique, telles que des conférences, des ateliers, des expositions, des appréciations vidéo et des expériences interactives. artisanat et jeux parent-enfant, etc. Certaines activités sont également ouvertes à la participation en ligne. Le public peut consulter le contenu de l’événement et les informations relatives à l’inscription sur le site officiel de l’Academia Sinica."
6,Activités scientifiques populaires,Le campus est ouvert,Quand les informations détaillées sur l'événement de la « Journée portes ouvertes de l'hôpital » de cette année seront-elles annoncées ?,Vie,None,Mlle Wang 9727,"Selon la page « Activités portes ouvertes du campus » sur le site officiel de l'Academia Sinica, des informations détaillées sur les événements des « Activités portes ouvertes du campus » de cette année seront annoncées le 21 octobre."
7,Activités scientifiques populaires,Le campus est ouvert,Y a-t-il des activités interactives spécifiques à l'âge prévues le jour de l'événement pour que les enfants puissent découvrir le plaisir de la science ?,Vie,None,Mlle Wang 9727,"Selon le texte, la réponse est oui. L'Academia Sinica organise chaque année la « Journée portes ouvertes institutionnelles » et prévoit des activités interactives adaptées à chaque âge pour permettre aux enfants de découvrir le plaisir de la science à travers des jeux. Cette année ne fait pas exception, des activités de vulgarisation scientifique seront proposées aux enfants."
8,Activités scientifiques populaires,Le campus est ouvert,Comment les gens peuvent-ils s’inscrire pour participer ?,Vie,None,Mlle Wang 9727,"Sur la base de la description textuelle suivante, répondez aux questions sur un ton quotidien comme suit :

« Si vous souhaitez participer aux « activités de visite ouverte du campus », vous pouvez consulter le « contenu de l'activité » et les « informations d'inscription » sur le « site officiel de l'ouverture du campus ». Le site Web fournit également un lien vers les « événements passés », et le public peut vérifier les informations sur les activités des trois dernières années."
9,Activités scientifiques populaires,Fête du savoir,"Ah ! La « Série de conférences scientifiques populaires de la série Knowledge Feast » de l'Academia Sinica est vraiment bonne, elle a lieu depuis 1993 ! Savez-vous combien de personnes en ont bénéficié ? 108 ans plus tard, des vidéos de discours ou des émissions en direct peuvent être transformées en contenu d'apprentissage audiovisuel et téléchargées sur le compte YouTube officiel. Si les gens veulent voir le contenu des discours précédents, où peuvent-ils s’adresser ?",Vie,None,Mlle Wu 9726,"D'ACCORD! L'Academia Sinica organise chaque année depuis 1993 les « Conférences de vulgarisation scientifique de la Fête du savoir » et les « Conférences de vulgarisation scientifique du défunt doyen » et est organisée dans le cadre des « Conférences de vulgarisation scientifique de la série Fête du savoir » depuis la 108e année de la République de Chine. Ces conférences invitent des chercheurs de différents domaines de recherche à l'intérieur et à l'extérieur de l'institut à donner des conférences. Le contenu est vivant et intéressant, et chaque session attire des centaines de résidents de la communauté et de jeunes étudiants. Ces dernières années, l’Academia Sinica a enregistré ou diffusé des conférences en direct et produit du contenu d’apprentissage audiovisuel."
