index,category,title,question,group,url,contact,answer
0,Borsa di studio,Programma pilota TIGP-X,Che tipo di piano è il programma pilota TIGP-X?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"TIGP-X Pilot Program è un programma coltivato congiuntamente da Academia Sinica e università straniere per coltivare studenti di dottorato internazionali.Il suo scopo è promuovere la cooperazione accademica internazionale, attrarre studenti internazionali e incoraggiare i ricercatori di Academia Sinica a cooperare con istituzioni accademiche straniere. Il programma fornisce anche borse di studio ai dottorandi internazionali TIGP-X per condurre ricerche presso Academia Sinica durante la fase di ricerca della tesi, in modo da aumentare il pool di talenti dei dottorandi."
1,Borsa di studio,Programma pilota TIGP-X,Chi può richiedere questo programma?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,Possono presentare domanda per questo piano solo i ricercatori che sono ricercatori assistenti o superiori negli istituti e nei centri di Academia Sinica.
2,Borsa di studio,Programma pilota TIGP-X,Quante ammissioni sono previste per il programma pilota TIGP-X?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Poiché il numero di ingressi deve essere abbinato alla disponibilità dei dormitori TIGP, al momento non è possibile specificare il numero di ingressi."
3,Borsa di studio,Programma pilota TIGP-X,Quali documenti sono necessari per richiedere questo programma?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Per fare domanda per questo programma, è necessario preparare i seguenti documenti: piano di cooperazione o proposta di tesi di dottorato, materiali di domanda personale per i dottorandi, lettera di raccomandazione del supervisore dell'unità di cooperazione estera e lettera di consenso della scuola in cui si trova il dottorando studiando. Ricordati di rivedere il modulo di domanda in dettaglio prima di applicare!"
4,Borsa di studio,Programma pilota TIGP-X,Qual è la procedura di richiesta per il programma pilota TIGP-X? Quanto durerà il processo di revisione?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Il programma pilota TIGP-X prevede procedure di revisione e revisione preliminari, che devono essere presentate al proprio istituto o centro di ricerca per la revisione preliminare. Quindi, l'istituto e il centro di ricerca del richiedente invierà una lettera all'Ufficio internazionale insieme al parere di revisione iniziale (se ci sono più di due domande nel periodo corrente, è necessario fornire un ordine di raccomandazione). Successivamente, l'Ufficio internazionale compilerà i casi di domanda e li invierà all'Associazione di consulenza accademica per la revisione.Il tempo di revisione richiederà circa 20 giorni lavorativi. Successivamente, il parere di riesame sarà riferito insieme ai documenti di domanda al presidente di Academia Sinica per l'approvazione. Dopo l'approvazione degli esiti del riesame, l'Academia Sinica ne darà comunicazione agli istituti e centri di ricerca di appartenenza dei ricercatori."
5,Borsa di studio,Programma pilota TIGP-X,Qual è la scadenza per la presentazione delle domande per il programma pilota TIGP-X?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Ci sono tre gradi di domanda ogni anno e verranno eseguite le procedure iniziali di revisione e revisione. Poiché i candidati devono sottoporsi al proprio istituto o centro di ricerca per la revisione preliminare, il termine per la presentazione delle domande all'istituto o centro di ricerca deve essere confermato dal richiedente all'istituto o centro di ricerca. Successivamente, i termini entro i quali l'istituto di ricerca e il centro di ricerca del richiedente devono inviare la lettera di parere di revisione iniziale all'Ufficio internazionale sono rispettivamente fine febbraio, fine giugno e fine ottobre."
6,Borsa di studio,Programma pilota TIGP-X,"In base alla data di ricerca degli studenti di dottorato in ospedale, come devo scegliere il livello di applicazione?",l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Il modo per scegliere il livello di applicazione si basa sul tempo stimato per gli studenti di dottorato per studiare in Academia Sinica. Se si prevede di iniziare la ricerca presso Academia Sinica tra aprile e luglio, l'istituto/centro deve presentare domanda entro la fine di febbraio; se si prevede di iniziare la ricerca presso Academia Sinica tra agosto e novembre, l'istituto/centro deve presentare domanda entro la fine di giugno; infine, se si prevede di iniziare la ricerca presso Academia Sinica tra dicembre e marzo dell'anno successivo, l'istituto/centro deve presentare domanda entro la fine di ottobre."
7,Borsa di studio,Programma pilota TIGP-X,"I materiali per la domanda per il programma pilota TIGP-X devono essere scritti in inglese, giusto?",l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Sì, i materiali per la domanda per il programma pilota TIGP-X devono essere scritti in inglese."
8,Borsa di studio,Programma pilota TIGP-X,Di quante lettere di raccomandazione ho bisogno?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Devi preparare almeno una lettera di raccomandazione in qualsiasi forma, ricordati di scriverla in inglese."
9,Borsa di studio,Programma pilota TIGP-X,Quanti dottorandi TIGP-X possono ricevere al massimo ogni anno i ricercatori di Academia Sinica?,l'accademico,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"I ricercatori di Academia Sinica possono ricevere un massimo di un sussidio per studenti di dottorato TIGP-X ogni anno, quindi gli studenti dovrebbero essere selezionati attentamente e limitati a un caso nello stesso scaglione."
