index,category,title,question,group,url,contact,answer
0,vận tải,Bãi đậu xe trong khuôn viên trường,Tôi có cần phải trả bất kỳ khoản phí cầu đường nào nếu tôi muốn đỗ xe trong khuôn viên trường vào các ngày trong tuần không?,Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Nếu bạn vào khuôn viên để đỗ xe vào các ngày trong tuần, bạn cần phải trả một khoản phí theo đồng hồ đo. Thời gian tính phí là từ 7:00 sáng đến 10:00 tối và phí là 20 nhân dân tệ mỗi giờ. Tuy nhiên, dưới 30 phút trong giờ đầu tiên là miễn phí, từ giờ thứ hai, dưới 30 phút sẽ tính phí 10 nhân dân tệ trong nửa giờ, và hơn 30 phút sẽ tính phí 20 nhân dân tệ mỗi giờ."
1,vận tải,Bãi đậu xe trong khuôn viên trường,Quy trình nộp đơn cho các khoản phí thông thường là gì?,Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Để đăng ký một khoản phí thông thường, trước tiên bạn phải tải xuống mẫu đơn xin giấy phép đậu xe từ trang web của Văn phòng Tổng hợp, điền vào nó, tìm một con dấu ở cửa sổ đơn vị, sau đó gửi đến Văn phòng Tổng hợp để đăng ký . Khi bạn được thông báo rằng bạn có thể nhận thẻ đậu xe và trả phí, ứng dụng được coi là hoàn tất."
2,vận tải,Bãi đậu xe trong khuôn viên trường,Các hạn chế và quy định đối với đầu máy xe lửa trong khuôn viên trường là gì?,Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Đầu máy xe lửa bị hạn chế nghiêm ngặt trong hợp chất. Ngoại trừ những chiếc xe tuần tra chính thức của đồn cảnh sát và đội đồn trú, và những chiếc xe máy tàn tật, những chiếc xe máy khác không được phép đi vào trong sân. Các đầu máy xe lửa phải được đỗ ở bãi đỗ dành riêng cho đầu máy xe lửa trừ khi có sự cho phép đặc biệt để vào bệnh viện trong trường hợp khẩn cấp."
3,vận tải,Thông tin giao thông,Vị trí của Academia Sinica ở đâu?,Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Academia Sinica tọa lạc tại Số 128, Đoạn 2, Đường Viên Viên, Quận Nangang, Thành phố Đài Bắc."
4,vận tải,Thông tin giao thông,Làm thế nào để hỏi về các phương thức vận chuyển khác nhau đến Academia Sinica?,Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Bạn có thể tham khảo trang web này (https://www.sinica.edu.tw/ch/articles/37) để tìm hiểu về các phương thức vận chuyển khác nhau đến Academia Sinica.
5,vận tải,Thông tin giao thông,Tôi có thể tải xuống bản đồ hướng dẫn khuôn viên trường ở đâu?,Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Bạn có thể tải xuống bản đồ hướng dẫn khuôn viên thông qua trang web này: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,vận tải,Thông tin giao thông,Academia Sinica có điểm tham quan hay cơ sở vật chất đặc biệt nào không?,Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Để biết các điểm tham quan hoặc cơ sở vật chất đặc biệt của Academia Sinica, vui lòng tham khảo bản đồ hướng dẫn khuôn viên này: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf, trong đó có phần giới thiệu chi tiết."
7,ở lại,thông tin ký túc xá,Tôi có thể mượn KTX cho tân binh bất cứ lúc nào trong vòng 5 năm không?,Mạng sống,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Đúng vậy, trong vòng năm năm kể từ khi nhậm chức, bạn có thể mượn ký túc xá cho tân binh bất cứ lúc nào. Tuy nhiên, cần lưu ý rằng ký túc xá sinh viên mới có một phòng và nhiều phòng chỉ có thể được mượn một lần."
8,ở lại,thông tin ký túc xá,Có đúng là ký túc xá một phòng và ký túc xá sinh viên mới nhiều phòng có thể được mượn một lần không?,Mạng sống,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Có, các nhà nghiên cứu mới được tuyển dụng có thể mượn ký túc xá một phòng và ký túc xá nhiều phòng cho các học giả mới được tuyển dụng một lần trong vòng năm năm. Sau khi mượn ký túc xá một phòng, bạn không thể mượn ký túc xá một phòng mới thuê nữa, nhưng bạn vẫn có thể mượn ký túc xá nhiều phòng thuê mới trong vòng năm năm."
9,ở lại,thông tin ký túc xá,"Nếu tôi muốn mượn một ký túc xá, trước tiên tôi nên nhờ người tổ chức ký túc xá của từng trung tâm thay mặt tôi đăng ký?",Mạng sống,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Có, nếu bạn muốn mượn một ký túc xá, trước tiên bạn nên liên hệ với các nhà tài trợ ký túc xá của mỗi trung tâm và yêu cầu họ đăng ký thay cho bạn."
