index,category,title,question,group,url,contact,answer
0,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,"о! Ну, знаєте що? Виконавчий юань фактично має правила щодо відшкодування витрат на відрядження урядовців з різних агенцій центрального уряду! ! (спантеличений тон)",Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,о! ах! Це вірно! Виконавчий юань сформулював правила для стандартизації ключових моментів у звітності про витрати на відрядження для урядовців з різних установ центрального уряду! (підтверджуючий сигнал)
1,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,"Знаєте що? Вони встановили «Положення про виконавчий юань» (довге зітхання), щоб регулювати, як державні службовці різних відомств мають відшкодовувати витрати на відрядження під час поїздок за кордон у службових справах (вираз здивування)! !",Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Ну... а-а... вони створили «Положення про виконавчий юань» (довге зітхання), яке має регулювати, як державні службовці різних установ мають відшкодовувати витрати на відрядження, коли вони їздять за кордон у службових справах (вираз здивування)! ! Гм... ах... цей «Постанова виконавчого юаня» (довге зітхання) регулює, як державні службовці різних установ мають відшкодовувати витрати на відрядження під час поїздок за кордон (вираз здивування)! ! Гм…"
2,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,"Отже, ось питання (розширене",Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"звичайно! Згідно з наведеним вище описом тексту, відповідаючи на запитання, я буду використовувати тон повсякденного мовлення та уникатиму часток.

Запитання: Отже, виникає запитання (Розширене

Відповідь: Приходьте."
3,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,"Добре, ось кілька запитань, які закінчуються знаком питання:",Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Добре, я відповім на ваші запитання невимушеним тоном і уникатиму використання допоміжних дієслів.

Питання 1: Що означає ""не на місці""?
Відповідь: «Поза офісом» означає, що державний службовець не працює за робочим столом або в офісі.

Запитання 2: Яка різниця між «офіційним візитом» і «неофіційним візитом»?
Відповідь: Офіційний візит – це візит, який офіційно затверджений і запланований, тоді як уні"
4,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,"Якщо державний службовець запрошений іноземним урядом або організацією з офіційним візитом, які завдання він може виконувати під час поїздки? 🤔",Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Згідно з тональністю повсякденного мовлення, термін «відрядження» в цьому пункті стосується державного службовця, який виїжджає за кордон для виконання одного з таких завдань за погодженням з керівником відомства:
(1) Відвідування за кордоном на офіційне запрошення іноземних урядів, громадянського суспільства або міжнародних організацій.
(2) Здійснювати відповідні візити для дипломатичних потреб.
(3) Представляти уряд на міжнародних конференціях або переговорах.
(4) Виїзд за кордон для інспекції або інспекції через службові потреби.
(5) Інші службові обов'язки.
Отже, якщо державний службовець"
5,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,Які дипломатичні потреби вимагають від державного службовця виїзду за кордон? 🤔,Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Дипломатичні потреби, офіційні закордонні інспекції та участь у міжнародних зустрічах чи переговорах від імені уряду."
6,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,У яких міжнародних конференціях чи переговорах державний службовець представляв би уряд?,Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Відповідно до наданого тексту державний службовець представлятиме уряд для участі в міжнародних конференціях або переговорах, пов’язаних із такими завданнями:

1. Офіційні запрошення від іноземних урядів, громадських організацій або міжнародних організацій.
2. Дипломатичні потреби для відвідин за кордоном.
3. Представлення уряду для участі в міжнародних зустрічах або переговорах.
4. Адміністративні потреби для виїзду за кордон.
5. Інші службові питання."
7,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,Без проблем! Ось кілька запитань для вас:,Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Без проблем! Ось кілька запитань для вас:

1. Як ви ставитесь до тривалості подорожі?

2. Яка мета подорожі?

3. Ви в захваті від поїздки?

4. Чи є у вас сумніви щодо поїздки?

5. Яким, на вашу думку, буде поїздка?

6. Що ви очікуєте отримати від поїздки?

7. Як ви плануєте"
8,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,"Якщо співробітник перебуває у відрядженні і його поїздка запланована на 3 дні, але він хоче повернутися раніше, чи може він зробити це без погодження з керівником?",Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Відповідно до тексту, якщо діловий мандрівник хоче закінчити свою поїздку достроково, він повинен отримати дозвіл керівника агентства заздалегідь, якщо немає причин, які не можуть бути покладені на відповідальність ділового мандрівника. Тому, якщо бізнес-мандрівники хочуть повернутися додому раніше, вони повинні спочатку доповісти керівнику агентства, інакше їм не дозволять повернутися додому раніше. Тому відповідь полягає в тому, що ви не можете напряму повернутися в країну заздалегідь, вам потрібно спочатку отримати дозвіл."
9,Відшкодування витрат на відрядження при закордонних відрядженнях,Виконавчий юань,"То чи були ви нещодавно у відрядженні, і які витрати компенсували?",Фінансування,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Нещодавно я був у закордонному відрядженні, мені відшкодували витрати на транспорт, проживання та офісні витрати."
