index,category,title,question,group,url,contact,answer
0,transporte,Estacionamiento del campus,¿Tengo que pagar peaje si quiero aparcar en el campus entre semana?,Vida,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Si ingresa al campus para estacionarse entre semana, debe pagar una tarifa con medidor. El período de carga es de 7:00 a. m. a 10:00 p. m. y la tarifa es de 20 yuanes por hora. Sin embargo, la primera hora es gratis por menos de 30 minutos, a partir de la segunda hora, menos de 30 minutos se cobrarán a 10 yuanes por media hora y más de 30 minutos se cobrarán a 20 yuanes por hora."
1,transporte,Estacionamiento del campus,¿Cuál es el proceso de solicitud de tarifas regulares?,Vida,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Para solicitar una tarifa regular, primero debe descargar el formulario de solicitud de un permiso de estacionamiento del sitio web de la Oficina de Asuntos Generales, completarlo, encontrar un sello en la ventana de la unidad y luego enviarlo a la Oficina de Asuntos Generales para su solicitud. . Cuando se le notifica que puede recoger el pase de estacionamiento y pagar la tarifa, la solicitud se considera completa."
2,transporte,Estacionamiento del campus,¿Cuáles son las restricciones y regulaciones para las locomotoras en el campus?,Vida,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Las locomotoras están estrictamente restringidas dentro del recinto. A excepción de los coches patrulla oficiales de la comisaría y de la brigada de guarnición, y las motocicletas averiadas, no se permite el paso de otras motocicletas por el patio. Las locomotoras deben estacionarse en el estacionamiento designado para locomotoras a menos que exista un permiso especial para ingresar al hospital en caso de emergencia."
3,transporte,información de tráfico,¿Dónde está la ubicación de la Academia Sínica?,Vida,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Academia Sinica está ubicada en el No. 128, Sección 2, Yuanyuan Road, distrito de Nangang, ciudad de Taipei."
4,transporte,información de tráfico,¿Cómo informarse sobre los distintos modos de transporte a la Academia Sínica?,Vida,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Puede consultar este sitio web (https://www.sinica.edu.tw/ch/articles/37) para conocer los diversos métodos de transporte a Academia Sinica.
5,transporte,información de tráfico,¿Dónde puedo descargar el mapa guía del campus?,Vida,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Puede descargar el mapa guía del campus a través de este sitio web: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,transporte,información de tráfico,¿Academia Sínica tiene atracciones o instalaciones especiales?,Vida,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Para conocer las atracciones o instalaciones especiales de la Academia Sínica, consulte este mapa guía del campus: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf, que tiene una introducción detallada."
7,permanecer,Información del dormitorio,¿Puedo tomar prestado el dormitorio para nuevos reclutas en cualquier momento dentro de los 5 años?,Vida,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Sí, dentro de los cinco años de asumir el cargo, puede tomar prestado el dormitorio para los nuevos reclutas en cualquier momento. Sin embargo, debe tenerse en cuenta que los dormitorios de estudiantes nuevos de una sola habitación y de varias habitaciones solo se pueden tomar prestados una vez."
8,permanecer,Información del dormitorio,¿Es cierto que el dormitorio de una sola habitación y el dormitorio de estudiantes nuevos de varias habitaciones se pueden tomar prestados una vez?,Vida,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Sí, los investigadores recién contratados pueden tomar prestado el dormitorio de una sola habitación y el dormitorio de varias habitaciones para los académicos recién contratados una vez dentro de los cinco años. Después de pedir prestado un dormitorio de una sola habitación, ya no puede pedir prestado un dormitorio de una sola habitación para nuevos empleados, pero aún puede tomar prestado un dormitorio de varias habitaciones para nuevos empleados dentro de cinco años."
9,permanecer,Información del dormitorio,"Si quiero tomar prestado un dormitorio, primero debo pedirle a los organizadores del dormitorio de cada centro que lo soliciten en mi nombre.",Vida,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Sí, si desea pedir prestado un dormitorio, primero debe comunicarse con los patrocinadores del dormitorio de cada centro y pedirles que presenten la solicitud en su nombre."
