index,category,title,question,group,url,contact,answer
0,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,En quelle année a eu lieu la « Conférence centrale de recherche - Conférence de vulgarisation scientifique inter-comté et ville » ?,Vie,Aucun,Mlle Guo 2633,Les conférences scientifiques populaires inter-comté et ville dans la salle de conférence de Zhongyan ont lieu depuis 107.
1,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,Quel est l'objectif principal de la tenue de cet événement ?,Vie,Aucun,Mlle Guo 2633,"L'objectif principal de cet événement est de permettre aux étudiants de tous les comtés et villes de Taïwan d'entendre les conférences de recherche de l'Academia Sinica, sans être affectés par l'écart entre la circulation et les zones urbaines et rurales."
2,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,"Jusqu'à présent, quels comtés et villes ont organisé cet événement ?",Vie,Aucun,Mlle Guo 2633,"C'était à Tainan et Hualien en 107, à Taichung et Pingtung en 2010, à Changhua et Chiayi en 2010, à Taitung en 2011, à Yilan et Kinmen en 2011, et a visité 9 comtés et villes jusqu'à présent."
3,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,Quel est le nombre moyen de candidats pour chaque discours ?,Vie,Aucun,Mlle Guo 2633,Le nombre moyen de candidats pour chaque discours est d'environ 300 personnes.
4,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,Quel a été le nombre de vues le plus élevé pour une vidéo vocale ?,Vie,Aucun,Mlle Guo 2633,Le plus grand nombre de vues du film discours a atteint près de 70 000 fois.
5,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,Comment l'Academia Sinica organisera-t-elle cet événement à l'avenir ?,Vie,Aucun,Mlle Guo 2633,"À l'avenir, l'Academia Sinica continuera à planifier et à organiser cet événement, en donnant la priorité à sa tenue dans les comtés et les villes qui n'ont pas encore été visités. Le premier événement de cette année aura lieu au lycée Wuling de Taoyuan.Les informations d'inscription spécifiques seront annoncées sur le site officiel et le compte Facebook officiel de l'Academia Sinica."
6,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,Où aura lieu le premier événement de l'année ?,Vie,Aucun,Mlle Guo 2633,"Le premier événement de cette année aura lieu au lycée Wuling de Taoyuan, le samedi 10 juin de 13h30 à 16h00. Bienvenue parmi nous !"
7,Activités scientifiques de vulgarisation,Zhongyan Lecture Hall ─Discours de vulgarisation scientifique dans les comtés et les villes,Où les informations d'inscription détaillées seront-elles annoncées ?,Vie,Aucun,Mlle Guo 2633,"Des informations détaillées sur l'inscription seront annoncées sur le site officiel et le compte Facebook officiel de l'Academia Sinica !
Site officiel : https://www.sinica.edu.tw/ch
Compte Facebook officiel : https://www.facebook.com/sinicaedu"
8,Activités scientifiques de vulgarisation,campus ouvert,Quand aura lieu l'événement ouvert du campus de cette année ?,Vie,Aucun,Mlle Wang 9727,"Afin d'élargir le plan de division par âge, l'ouverture du campus de cette année est divisée en jours 2. L'ouverture de la journée de vulgarisation scientifique du campus pour les enfants aura lieu le 14 octobre et la visite ouverte du campus aura lieu le octobre. 21."
9,Activités scientifiques de vulgarisation,campus ouvert,Quels types d'activités de vulgarisation scientifique y aura-t-il le jour de l'événement ?,Vie,Aucun,Mlle Wang 9727,"De nombreuses activités de vulgarisation scientifique auront lieu le jour de l'événement, telles que des discours, des ateliers, des expositions, des vidéos d'appréciation, des expériences interactives, des travaux manuels et des jeux parents-enfants, etc. Et certaines activités peuvent également être suivies en ligne !"
10,Activités scientifiques de vulgarisation,campus ouvert,Y a-t-il des activités interactives spéciales prévues pour les enfants lors de l'ouverture du campus cette fois-ci ?,Vie,Aucun,Mlle Wang 9727,"Cette fois, l'ouverture du campus prévoit spécialement une ""Journée de vulgarisation scientifique pour les enfants"" d'une journée complète pour les enfants du primaire. Elle devrait avoir lieu le 14 octobre. Les types d'activités comprennent des expositions, des ateliers et des expériences interactives. Nous espérons que grâce à des activités riches, les enfants pourront découvrir le plaisir de la science à partir du jeu."
11,Activités scientifiques de vulgarisation,campus ouvert,Comment puis-je me renseigner sur les détails de l'événement et les informations relatives à l'inscription ?,Vie,Aucun,Mlle Wang 9727,"Vous pouvez vous rendre sur le site officiel de l'Academia Sinica pour vous renseigner sur les activités et les informations d'inscription. Le site Web comporte également une page des activités des années précédentes, où vous pouvez voir les liens vers les activités des 3 dernières années. La date de l'événement de cette année est le 21 octobre 2011 et des informations détaillées seront annoncées sur le site officiel de l'Academia Sinica."
12,Activités scientifiques de vulgarisation,campus ouvert,Existe-t-il un site Web sur lequel je peux consulter les activités d'ouverture du campus au fil des ans ?,Vie,Aucun,Mlle Wang 9727,"Vous pouvez vous rendre sur le site officiel de l'Academia Sinica pour consulter les informations sur les activités d'ouverture des campus au fil des ans.Il y a des liens vers les activités des trois dernières années.
Site officiel des portes ouvertes : https://openhouse.sinica.edu.tw/
De plus, le YouTube officiel de l'Academia Sinica organise également les merveilleux discours qui ont été ouverts sur le campus au fil des ans et les compile dans une liste de lecture que tout le monde peut écouter.
Playlist vidéo d'ouverture du campus 2022 : https://www.youtube.com/watch?v=eJdAAcVIwC4&list=PLlPkilLR3TiFeWZszudqyNJb3W8tbbroj
Playlist vidéo d'ouverture du campus 2021 : https://www.youtube.com/watch?v=qeeA40t4MJY&list=PLlPkilLR3TiHxdC-G0dx7l5V_l4SeIm5Q"
13,Activités scientifiques de vulgarisation,Fête de la connaissance,La série de conférences scientifiques de vulgarisation de Knowledge Feast a-t-elle lieu tous les mardis soirs ?,Vie,Aucun,Mlle Wu 9726,"Oui, la série de conférences de vulgarisation scientifique sur la fête du savoir a lieu les mardis soirs du mois d'activité."
14,Activités scientifiques de vulgarisation,Fête de la connaissance,Quels experts du domaine de la recherche seront invités à donner des conférences lors de cet événement ?,Vie,Aucun,Mlle Wu 9726,Cet événement invitera des experts de différents domaines de recherche à l'intérieur et à l'extérieur de l'Academia Sinica à donner des conférences.
15,Activités scientifiques de vulgarisation,Fête de la connaissance,Sur quel compte YouTube la présentation sera-t-elle téléchargée pour que tout le monde puisse la regarder ?,Vie,Aucun,Mlle Wu 9726,Le contenu du discours sera téléchargé sur le compte YouTube officiel de l'Academia Sinica pour que tout le monde puisse le regarder.
16,Activités scientifiques de vulgarisation,Fête de la connaissance,Comment trouver les informations d'inscription à cet événement sur le site officiel de l'Academia Sinica et sur Facebook ?,Vie,Aucun,Mlle Wu 9726,"Pour trouver les informations d'inscription à cet événement, vous pouvez consulter le site officiel et le compte Facebook officiel de l'Academia Sinica avant le début de l'événement, et les informations d'inscription y seront publiées. Mais attention, l'événement est un système d'inscription en ligne, et vous ne pouvez pas vous inscrire par téléphone ou par d'autres moyens. Cependant, vous pouvez nous contacter par téléphone si vous avez des questions sur l'événement."
17,Activités scientifiques de vulgarisation,Fête de la connaissance,"L'événement n'accepte pas les inscriptions par téléphone, alors comment procéder à l'inscription en ligne ?",Vie,Aucun,Mlle Wu 9726,"Pour vous inscrire en ligne, vous pouvez suivre le site officiel et le compte Facebook officiel de l'Academia Sinica avant l'événement.Les informations d'inscription seront annoncées à l'avance, puis suivez les instructions pour vous inscrire en ligne. Les questions concernant l'événement peuvent être contactées par téléphone."
18,Promotion des sciences,recherche,"Qu'est-ce que la ""recherche avec les choses"" ?",Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,"""Research Youwu"" est une plate-forme de communication scientifique affiliée à l'Academia Sinica. Elle a été créée en avril 106. Le fondateur du site Web était le regretté chercheur Chen Shengwei, un scientifique de l'information. La plate-forme est gérée conjointement par l'équipe éditoriale de l'académie. Elle présente principalement les chercheurs et les résultats de recherche de l'Academia Sinica à travers des rapports graphiques clairs et faciles à comprendre. À l'heure actuelle, elle a accumulé plus de 330 articles de vulgarisation scientifique, publiés deux livres physiques, et possède sa propre communauté comme les pages Facebook et IG. À l'avenir, ""Research Youwu"" continuera à publier des articles scientifiques plus populaires liés à la recherche de l'Academia Sinica et à élargir son lectorat."
19,Promotion des sciences,recherche,Combien y a-t-il de personnes dans l'équipe éditoriale de « Research Youwu » ?,Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,"L'équipe éditoriale de ""Research with Things"" est composée de 3 personnes. Selon le domaine de travail, elle se répartit en rédacteurs scientifiques (en charge des articles dans le groupe mathématiques et le groupe vie), en rédacteurs sociaux et humanités (en charge des articles dans le groupe des sciences humaines), des éditeurs d'art (en charge de la photographie, du design d'art visuel)."
20,Promotion des sciences,recherche,"Combien d'articles de vulgarisation scientifique ""Research Youwu"" a-t-il publiés ?",Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,"""Research Youwu"" a accumulé plus de 330 articles de vulgarisation scientifique."
21,Promotion des sciences,recherche,"Qui a écrit les articles sur ""Research Youwu"" ?",Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,"L'auteur de la première ébauche de l'article de ""La recherche et les choses"" peut être un éditeur à l'hôpital ou un auteur externe coopérant. Avant que l'article ne soit finalisé et publié, il fera l'objet d'ajustements détaillés par l'équipe éditoriale."
22,Promotion des sciences,recherche,"Quels livres physiques ont été publiés par ""Research Youwu"" ?",Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,"""Research Youwu"" a publié deux livres physiques. Le premier est ""Research Youwu: Traveling Through Ancient and Modern Times"" publié en 2010 ! Academia Sinica's 25 Humanities Open Classes"" est une série de livres du groupe Humanities. Le deuxième livre est ""Research and Youwu : A Book of Micro-knowledge"" publié en 110 ans ! Academia Sinica's 21 Life Science Lessons"" est une série de livres du Life Group. Ils prévoient de lancer une série de livres sur les mathématiques et la physique dans 113 ans."
23,Promotion des sciences,recherche,Quand prévoient-ils de lancer la série de livres Mathematics Group ?,Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,Ils prévoient de lancer une série de livres sur les mathématiques et la physique dans 113 ans.
24,Promotion des sciences,recherche,"Quels sont les projets futurs de ""Research Youwu"" ?",Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,"En plus de publier une série de livres sur les mathématiques et la physique en 2011, à l'avenir, Yanzhiyouwu continuera à produire des articles de vulgarisation scientifique liés à la recherche de l'Academia Sinica, et prévoit de coopérer avec différents types de médias pour élargir le lectorat, tels que comme : vidéos coopératives YouTube, livres pour enfants et livres d'images, etc."
25,Promotion des sciences,recherche,"Combien de fans compte la page Facebook de l'Academia Sinica ""Research Youwu"" ?",Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,"La page Facebook ""Yan Zhi You Wu"" de l'Academia Sinica compte environ 62 000 fans."
26,Promotion des sciences,recherche,Quel est le nombre approximatif d'abonnés sur leur page IG ?,Vie,http://research.sinica.edu.tw/,M. Jeanne 2654,Leur page IG compte environ 13 000 abonnés.
27,Promotion des sciences,réseaux sociaux,"Wow, l'Academia Sinica compte plus de 160 000 abonnés sur Facebook ?",Vie,https://www.facebook.com/sinicaedu/,M. Chen 8059,"Oui, les abonnés Facebook d'Academia Sinica ont dépassé les 160 000, et ils ont également de nombreux fans et abonnés sur d'autres plateformes sociales !"
28,Promotion des sciences,réseaux sociaux,"Le compte IG a été ouvert en 2018, alors combien de followers avez-vous accumulé maintenant ?",Vie,https://www.facebook.com/sinicaedu/,M. Chen 8059,"Maintenant, il a accumulé environ 25 300 abonnés, et il y aura de nouvelles mises à jour d'informations de temps en temps, ainsi que des activités pour interagir avec les fans !"
29,Promotion des sciences,réseaux sociaux,"Sur la plateforme YouTube, combien d'abonnés la chaîne vidéo et audio officielle d'Academia Sinica compte-t-elle actuellement ?",Vie,https://www.facebook.com/sinicaedu/,M. Chen 8059,"Sur la plateforme YouTube, la chaîne vidéo et audio officielle de l'Academia Sinica compte actuellement plus de 80 600 abonnés."
30,Promotion des sciences,réseaux sociaux,"320 vidéos ont été téléchargées jusqu'à présent, y a-t-il une recommandation particulière ?",Vie,https://www.facebook.com/sinicaedu/,M. Chen 8059,"Jusqu'à présent, 320 vidéos ont été téléchargées, y compris les résultats de recherche de l'Academia Sinica et des discours de vulgarisation scientifique, etc. Vous pouvez choisir de regarder en fonction de vos intérêts !"
31,Activités artistiques et culturelles,Activités artistiques et culturelles,À quels types d'horaires de représentation puis-je postuler en septembre de chaque année ?,Vie,Aucun,Mlle Chen 9488,"Chaque mois de septembre, vous pouvez postuler pour des créneaux de représentation dans les catégories théâtre, danse, musique, folklore et autres."
32,Activités artistiques et culturelles,Activités artistiques et culturelles,Quelles unités et organisations sont incluses dans les qualifications de candidature ?,Vie,Aucun,Mlle Chen 9488,"Les qualifications pour postuler incluent les interprètes individuels, les groupes d'arts du spectacle, les fondations culturelles et artistiques, les groupes sociaux, les studios d'art, les institutions culturelles et les sociétés de courtage d'art, etc."
33,Activités artistiques et culturelles,Activités artistiques et culturelles,Quelles sont les options pour les salles de spectacle?,Vie,Aucun,Mlle Chen 9488,Le lieu de représentation peut choisir l'auditorium du Centre d'activités académiques de l'Academia Sinica ou d'autres lieux de représentation appropriés.
