index,category,title,question,group,url,contact,answer
0,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,"In che anno si è tenuta la ""Conferenza di divulgazione della scienza della contea e della città con lezione di ricerca centrale""?",Vita,Nessuno,Signorina Guo 2633,Le lezioni di scienze popolari della contea e della città nella Zhongyan Lecture Hall si tengono dal 107.
1,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,Qual è lo scopo principale di organizzare questo evento?,Vita,Nessuno,Signorina Guo 2633,Lo scopo principale di questo evento è consentire agli studenti di tutte le contee e città di Taiwan di ascoltare le lezioni di ricerca dell'Academia Sinica senza essere influenzati dal divario tra il traffico e le aree urbane e rurali.
2,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,"Finora, quali contee e città hanno ospitato questo evento?",Vita,Nessuno,Signorina Guo 2633,"È stato a Tainan e Hualien nel 107, a Taichung e Pingtung nel 2010, a Changhua e Chiayi nel 2010, a Taitung nel 2011, a Yilan e Kinmen nel 2011, e finora ha visitato 9 contee e città."
3,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,Qual è il numero medio di candidati per ogni discorso?,Vita,Nessuno,Signorina Guo 2633,Il numero medio di candidati per ogni discorso è di circa 300 persone.
4,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,Qual è stato il numero di visualizzazioni più elevato per un video vocale?,Vita,Nessuno,Signorina Guo 2633,Il maggior numero di visualizzazioni del film del discorso ha raggiunto quasi 70.000 volte.
5,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,Come organizzerà Academia Sinica questo evento in futuro?,Vita,Nessuno,Signorina Guo 2633,"In futuro, Academia Sinica continuerà a pianificare e organizzare questo evento, dando priorità a tenerlo in contee e città che non sono ancora state visitate. Il primo evento di quest'anno si terrà presso la Wuling High School di Taoyuan Le informazioni specifiche per la registrazione saranno annunciate sul sito ufficiale e sull'account Facebook ufficiale di Academia Sinica."
6,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,Dove si terrà il primo evento dell'anno?,Vita,Nessuno,Signorina Guo 2633,"Il primo evento di quest'anno si terrà presso la Wuling High School di Taoyuan, sabato 10 giugno, dalle 13:30 alle 16:00. Benvenuti a unirvi a noi!"
7,Attività scientifiche popolari,Zhongyan Lecture Hall─Discorso di divulgazione scientifica nelle contee e nelle città,Dove saranno annunciate le informazioni dettagliate sulla registrazione?,Vita,Nessuno,Signorina Guo 2633,"Le informazioni dettagliate sulla registrazione saranno annunciate sul sito Web ufficiale e sull'account Facebook ufficiale di Academia Sinica!
Sito ufficiale: https://www.sinica.edu.tw/ch
Account Facebook ufficiale: https://www.facebook.com/sinicaedu"
8,Attività scientifiche popolari,campus aperto,Quando si terrà l'evento di apertura del campus di quest'anno?,Vita,Nessuno,Signorina Wang 9727,"Al fine di espandere il piano di divisione per età, l'apertura del campus di quest'anno è suddivisa in giorni 2. L'apertura del Campus-Children's Science Popularization Day si terrà il 14 ottobre e il tour aperto del campus si terrà a ottobre 21."
9,Attività scientifiche popolari,campus aperto,Che tipo di attività scientifiche divulgative ci saranno il giorno dell'evento?,Vita,Nessuno,Signorina Wang 9727,"Ci saranno molti tipi di attività di divulgazione scientifica nel giorno dell'evento, come discorsi, workshop, mostre, apprezzamento video, esperienze interattive, artigianato e giochi genitore-figlio, ecc. E alcune attività possono essere seguite anche online!"
10,Attività scientifiche popolari,campus aperto,Sono previste attività interattive speciali per i bambini durante l'apertura del campus questa volta?,Vita,Nessuno,Signorina Wang 9727,"Questa volta, l'apertura del campus prevede appositamente una ""Giornata di divulgazione scientifica per bambini"" di un'intera giornata a cui parteciperanno i bambini delle scuole elementari, che dovrebbe tenersi il 14 ottobre. Ci auguriamo che attraverso ricche attività, permetta ai bambini di sperimentare il divertimento della scienza dal gioco."
11,Attività scientifiche popolari,campus aperto,Come posso richiedere i dettagli dell'evento e le informazioni relative alla registrazione?,Vita,Nessuno,Signorina Wang 9727,"È possibile visitare il sito Web ufficiale di Academia Sinica per richiedere informazioni sulle attività e informazioni sulla registrazione. Il sito ha anche una pagina delle attività degli anni precedenti, dove si possono vedere i link alle attività degli ultimi 3 anni. La data dell'evento di quest'anno è il 21 ottobre 2011 e informazioni dettagliate saranno annunciate sul sito ufficiale di Academia Sinica."
