index,category,title,question,group,url,contact,answer
0,неповний робочий день,Шаблони заочного контролю (1) Заборонені категорії,"Отже, ви вважаєте, що ця постанова Academia Sinica має найбільший вплив на дослідників і техніків? Чи можуть вони бути обмежені через це положення? чому",персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Згідно з правилами Academia Sinica, дослідникам і технікам-дослідникам не дозволяється одночасно обіймати інші державні посади чи сертифіковані професії, інакше вони будуть покарані. Це означає, що вони не можуть бути представниками громадськості, державними службовцями в центральних і місцевих органах, а також виконувати посадові обов'язки відповідно до закону. Це може вплинути на їх участь у державних справах або в процесі прийняття рішень державними установами.

Дослідники та дослідники Academia Sinica не можуть одночасно обіймати посади в комерційних підприємствах, за винятком тих, що мають дозвіл. Це може вплинути на їхню участь у підприємницькій діяльності чи підприємницькій діяльності"
1,неповний робочий день,Контроль за сумісництвом (2) Категорія спеціального дозволу,"Отже, що ви думаєте про спеціальну категорію ліцензії Academia Sinica для форми контролю за сумісництвом (2)? Які прибуткові посади Academia Sinica дозволяє займати дослідникам і технікам?",персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Відповідно до положень Academia Sinica, дослідники та техніки можуть обіймати такі посади в прибуткових підприємствах після затвердження:
(1) Призначений державними органами (установами) з управління капіталом для представлення публічних акцій або обраний для одночасної роботи в якості директорів, керівників або подібних посад в державних підприємствах прямого чи непрямого інвестування.
(2) Основний постачальник технологій R&D виступає в якості директора новоствореної компанії, яка має договір про передачу технологій з Academia Sinica, і одночасний термін має бути в межах терміну дії контракту.
(3) Основний"
2,неповний робочий день,Контроль за сумісництвом (2) Категорія спеціального дозволу,а? це дротове? Все ще вважаєте це неймовірним? Або є якісь інші ідеї?,персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"це дротове? Все ще вважаєте це неймовірним? Або є якісь інші ідеї?

Тон: здивований, дивний, неймовірний, інші думки

Причина: це дивно та неймовірно, що дослідники та технічні спеціалісти Academia Sinica були схвалені Academia Sinica обіймати посади в комерційних підприємствах. Можливо, для того, щоб сприяти співпраці промисловості та університетів, Academia Sinica підписала договори про співпрацю з комерційними підприємствами, що дозволило дослідникам і технікам Academia Sinica брати участь у створенні нових підприємств або бути незалежними директорами. Можливо, Academia Sinica намагається підтримати наукові дослідження"
3,неповний робочий день,Контроль за сумісництвом (2) Категорія спеціального дозволу,"Гм? Як справи? Хочете дізнатися більше про те, як виглядає неповний робочий день?",персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Дослідники та дослідники Academia Sinica можуть обіймати посади в комерційних підприємствах на основі посад, затверджених Academia Sinica, але повинні відповідати відповідним нормам. включати:

* Призначений державним органом управління акціонерним капіталом для представлення публічних акцій або обраний для одночасної роботи в якості директорів, керівників або подібних посад у державних підприємствах прямого чи непрямого інвестування.
*Основний постачальник технологій R&D є директором новоствореної компанії, яка має договір про передачу технологій з Academia Sinica, і одночасний термін має бути в межах терміну дії контракту.
*основний"
4,неповний робочий день,Контроль за сумісництвом (2) Категорія спеціального дозволу,"о? Тож чи знаєте ви, хто може працювати на неповний робочий день в Academia Sinica? Які ролі може виконувати ключовий постачальник технологій науково-дослідних розробок?",персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Відповідно до положень Academia Sinica, дослідники та техніки можуть обіймати такі посади в прибуткових підприємствах після затвердження:

1. Призначений державними органами (установами) з управління капіталом для представлення публічних акцій або обраний для одночасної роботи в якості директорів, керівників або подібних посад у державних підприємствах прямого чи непрямого інвестування.
2. Основний постачальник технологій для науково-дослідних робіт виконує обов’язки директора новоствореної компанії, яка має договір про передачу технологій з Academia Sinica, і одночасний термін має бути в межах терміну дії контракту.
3. Основні технології НДДКР"
5,неповний робочий день,Тип контролю за сумісництвом (2) Категорія спеціального дозволу - Оформлення звільнення,"Потім вам потрібно задати наступні запитання на основі послуг та описів послуг, використовуючи щоденний тон:",персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Добре, тоді я, мабуть, відповім вам нормальним тоном! Перш за все, якщо дослідники та технічні спеціалісти Academia Sinica хочуть працювати на комерційних підприємствах до того, як приступити до роботи, вони повинні подати заяву на реєстрацію звільнення; якщо реєстрація звільнення не завершена протягом встановленого терміну, і за згодою Academia Sinica, його можна продовжити; однак протягом періоду продовження заборонено брати участь в операціях і отримувати винагороду. Тому, якщо ви хочете працювати на комерційному підприємстві, ви повинні спочатку подати заявку на безкоштовну реєстрацію, інакше ви можете лише"
6,неповний робочий день,Тип контролю за сумісництвом (2) Категорія спеціального дозволу - Оформлення звільнення,"Якщо науковцям і технікам-дослідникам Academia Sinica необхідно подати заяву на реєстрацію звільнення, перш ніж зайняти посаду в комерційному підприємстві, чому?",персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Відповідно до положень Academia Sinica, якщо науковцям і технікам-дослідникам Academia Sinica потрібно обіймати посади в прибуткових підприємствах, перш ніж зайняти свої посади, вони повинні подати заявку на реєстрацію припинення. Це тому, що Academia Sinica є консорціумом, створеним державних пожертвувань і підлягає урядовому нагляду.Уряд повинен захищати національні інтереси та інтереси громадськості.Інтереси, необхідно регулювати призначення дослідників і техніків-дослідників. Тому Academia Sinica вимагає від дослідників і техніків-дослідників, які мають займати посади в комерційних підприємствах, зареєструватися для звільнення, перш ніж приступити до своїх посад."
7,неповний робочий день,Тип контролю за сумісництвом (2) Категорія спеціального дозволу - Оформлення звільнення,Чому реєстрацію розірвання необхідно оформити протягом 3 місяців?,персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Згідно з правилами Academia Sinica, дослідники та техніки-дослідники, які завершили реєстрацію звільнення перед тим, як зайняти свої посади, повинні подати письмову заяву про звільнення, коли вони займуть свої посади, завершити реєстрацію звільнення протягом 3 місяців та подати відповідні сертифікаційні документи до Academia Sinica . Це пояснюється тим, що Academia Sinica є державною агенцією і має це положення для забезпечення адміністративного нейтралітету дослідників і техніків-дослідників. Якщо реєстрація припинення не може бути завершена протягом встановленого терміну та за згодою Academia Sinica, період може бути продовжений."
8,неповний робочий день,Тип контролю за сумісництвом (2) Категорія спеціального дозволу - Оформлення звільнення,"Якщо реєстрація припинення не може бути завершена відповідно до вимог через особливі обставини, на який термін її можна продовжити?",персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Згідно з правилами Academia Sinica, якщо реєстрація припинення не може бути завершена відповідно до вимог через особливі обставини, час, який можна продовжити, становить 3 місяці."
9,неповний робочий день,Тип контролю за сумісництвом (2) Категорія спеціального дозволу - Оформлення звільнення,Після завершення розчину,персоналу,https://www.sinica.edu.tw/ch/articles/332,Кадрова служба Academia Sinica,"Використовуйте наступні інструкції, щоб відповісти на запитання, використовуючи повсякденне мовлення:

Перш ніж зайняти посади, науковці та дослідники Academia Sinica повинні подати заяву на реєстрацію на роботу, якщо вони обіймали посади в комерційних підприємствах. Не пізніше ніж після прибуття слід подати письмову заяву про звільнення, а реєстрацію припинення завершити протягом 3 місяців, а також надати відповідні підтверджуючі документи до Academia Sinica. Якщо реєстрація припинення не може бути завершена відповідно до вимог через особливі обставини та за згодою Academia Sinica, період може бути продовжений, але остаточний"
