index,category,title,question,group,url,contact,answer
0,vận tải,Bãi đậu xe trong khuôn viên trường,"Ồ, vậy nếu tôi cần lái xe đến Academia Sinica thì làm cách nào để đến đó?",Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Ồ, à! Nếu tôi muốn lái xe đến Academia Sinica, trước tiên tôi phải vào trang web của Văn phòng Tổng hợp để tải mẫu đơn xin cấp giấy phép đậu xe, sau khi điền xong tôi sẽ liên hệ với cửa sổ đơn vị để phê duyệt tem, sau đó nộp cho Tổng cục. Văn phòng nộp đơn. Sau khi được phê duyệt, tôi sẽ được thông báo riêng để nhận giấy phép đậu xe và trả phí. Nếu tôi quên mang theo thẻ đậu xe, tôi phải trả phí 200 Đài tệ trước khi vào khuôn viên trường. Nếu tôi sử dụng thẻ hết hạn, tôi phải đợi đến ngày sau ngày hết hạn"
1,vận tải,Bãi đậu xe trong khuôn viên trường,"Ồ, hôm nay tôi phải đi làm ở Academia Sinica nhưng chưa đóng phí, tôi phải làm sao?",Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Ờ được rồi! Nếu bạn chưa trả phí đậu xe, đừng lo lắng! Chỉ cần vào trang web của Văn phòng Tổng hợp để tải mẫu đơn xin phép đậu xe, điền vào và liên hệ với cửa sổ đơn vị để phê duyệt tem, sau đó gửi đến Văn phòng Tổng hợp để xin. Sau khi phê duyệt, bạn sẽ được thông báo để nhận được giấy phép đậu xe và trả phí. Nếu gặp trường hợp khẩn cấp, bạn có thể trình báo trực tiếp đến đồn công an hoặc đồn công an, họ sẽ xử lý theo từng trường hợp cụ thể.

Ồ, tôi đã lái xe đến Academia Sinica để làm việc vào buổi sáng nhưng lại quên trả tiền."
2,vận tải,Bãi đậu xe trong khuôn viên trường,"Hôm nay tôi muốn đến Academia Sinica để khám bác sĩ nhưng tôi không có thẻ vào ô tô, tôi phải làm sao?",Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Vui lòng vào trang web của Văn phòng Tổng hợp để tải mẫu đơn xin cấp giấy phép đậu xe. Sau khi điền đầy đủ, liên hệ với cửa sổ đơn vị để phê duyệt tem, sau đó gửi đến Văn phòng Tổng hợp để đăng ký. Sau khi phê duyệt, bạn sẽ được thông báo nhận được giấy phép đậu xe và trả phí."
3,vận tải,Bãi đậu xe trong khuôn viên trường,"Hôm nay tôi phải đến Academia Sinica họp nhưng xe máy của tôi không đỗ đúng nơi quy định, tôi phải làm sao?",Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Hãy yên tâm tôi sẽ trả lời câu hỏi của bạn. Theo quy định về giao thông và đỗ xe của cơ sở Academia Sinica, xe máy không được phép đi qua trong khuôn viên trừ khi là xe công vụ, xe cảnh sát, xe dành cho người khuyết tật hoặc xe cấp cứu. Vì vậy, xe máy không được phép đỗ trong khu vực bệnh viện nếu không có đơn xin phép và chấp thuận trước.

Để giải quyết vấn đề này, bạn nên đi phương tiện công cộng (chẳng hạn như xe buýt) đến ga gần khuôn viên Academia Sinica, sau đó đi bộ đến cổng khuôn viên trường."
4,vận tải,Bãi đậu xe trong khuôn viên trường,...(Bạn có thể tiếp tục bổ sung thêm các câu hỏi mới và sử dụng trong các tình huống hàng ngày,Mạng sống,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Theo mô tả ở trên, nếu bạn muốn biết cách xin giấy phép đậu xe và nộp phí, bạn có thể tải mẫu đơn xin giấy phép đậu xe từ trang web của Văn phòng Tổng hợp, điền và liên hệ với cửa sổ đơn vị để được phê duyệt trước khi gửi. đến Văn phòng Tổng hợp để nộp đơn; nếu bạn muốn biết cách xử lý việc đỗ xe trái phép hoặc sử dụng thẻ hết hạn, bạn có thể xử lý dựa trên hồ sơ xe trái phép và xử lý thẻ hết hạn; nếu bạn muốn biết xe máy quy định về lối đi và bãi đậu xe, bạn có thể tìm hiểu về các phương pháp quản lý lối đi và bãi đậu xe máy trong khu vực bệnh viện."
5,vận tải,Thông tin giao thông,"Ồ! Vì vậy, mọi người nên tò mò, Academia Sinica ở đâu? Câu trả lời là: Số 128, Đoạn 2, Đường Xueyin, Quận Nangang, Thành phố Đài Bắc! (nghi ngờ?)",Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Ồ! Tốt! Academia Sinica tọa lạc tại số 128, đoạn 2, đường Academia Sinica, quận Nangang, thành phố Đài Bắc! (xác nhận)"
6,vận tải,Thông tin giao thông,Academia Sinica có thông tin vận chuyển nào? (trông chờ?),Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Theo văn bản, Academia Sinica tọa lạc tại số 128, đoạn 2, đường Academia Sinica, quận Nangang, thành phố Đài Bắc. Để biết thông tin về phương tiện di chuyển, vui lòng tham khảo trang web Academia Sinica https://www.sinica.edu.tw/ch/articles/37. Nó bao gồm vị trí của Academia Sinica, nhiều thông tin giao thông khác nhau và phần giới thiệu ngắn gọn về khuôn viên trường.

Để biết các điểm tham quan hoặc cơ sở vật chất của Academia Sinica, vui lòng tham khảo bản đồ hướng dẫn khuôn viên trường https://www.sinica.edu.tw/downloadFile_m.php?file=00"
7,vận tải,Thông tin giao thông,"...Theo thông tin, bạn có thể đi bộ đến Academia Sinica từ ga tàu điện ngầm! (hào hứng!)",Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm…ừm… ừm…ừm…ừm…ừm…ừm…ừm…ừm … ừm… ừm… ừm… ừm… ừm… ừm… ừm… ừm…
8,vận tải,Thông tin giao thông,Tôi có thể tham khảo hướng dẫn tham quan khuôn viên trường Academia Sinica ở đâu? (Vì tò mò!),Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"ĐƯỢC RỒI! Theo mô tả văn bản, bạn có thể tham khảo phần giới thiệu điều hướng khuôn viên trường của Academia Sinica: Bản đồ điều hướng khuôn viên trường (https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf)."
9,vận tải,Thông tin giao thông,……thậm chí,Mạng sống,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Theo mô tả văn bản ở trên, khi trả lời các câu hỏi, tôi sẽ sử dụng giọng điệu của lời nói hàng ngày và tránh sử dụng các tiểu từ.

Hỏi: ...thậm chí...

Trả lời: Academia Sinica tọa lạc tại số 128, đoạn 2, đường Academia Sinica, quận Nangang, thành phố Đài Bắc."
10,ở lại,Thông tin ký túc xá,Bạn có tò mò về vị trí cũng như phương tiện di chuyển của ký túc xá dành cho sinh viên mới tuyển dụng không? Bạn có muốn kiểm tra nó không?,Mạng sống,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705","Xin vui lòng xem qua! Ký túc xá dành cho sinh viên mới tuyển tọa lạc tại số 12, đoạn 1, đường Yanjian, quận Nangang, thành phố Đài Bắc, cách ga tàu điện ngầm Nangang khoảng 5 phút lái xe, có Phòng triển lãm Nangang, Công viên phần mềm Nangang, Taipei Fine Bảo tàng nghệ thuật và các điểm tham quan khác gần đó. Về phương tiện di chuyển, bạn có thể đi MRT đến ga Nangang, hoặc bắt xe buýt đến ga Công viên phần mềm Nangang hoặc ga Phòng triển lãm Nangang, cả hai đều rất thuận tiện. Nếu cần thêm thông tin, bạn có thể hỏi qua ban tổ chức của từng ký túc xá trung tâm."
11,ở lại,Thông tin ký túc xá,"Mình nghe nói ký túc xá dành cho sinh viên mới tuyển có thể chuyển sang loại ký túc xá khác, điều này có đúng không? Bạn có thể kiểm tra các quy định có liên quan.",Mạng sống,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705","Theo mô tả, sinh viên mới được tuyển dụng có thể mượn ký túc xá bất cứ lúc nào trong vòng 5 năm kể từ khi đến, nhưng mỗi người chỉ được mượn ký túc xá một phòng và nhiều phòng một lần. Tức là, những người mượn ký túc xá một phòng mới sau khi chuyển đi sẽ không thể mượn ký túc xá một phòng mới, tuy nhiên, họ vẫn có thể mượn ký túc xá nhiều phòng mới trong vòng 5 năm kể từ khi đến.
Có điều kiện mượn ký túc xá cho sinh viên mới tuyển dụng."
12,ở lại,Thông tin ký túc xá,Tại sao những ký túc xá một phòng mới thuê lại không thể mượn ký túc xá một phòng mới sau khi chuyển đi? Bạn có thể kiểm tra các quy định có liên quan.,Mạng sống,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705","Theo Điều 9 của Những điểm chính về quản lý ký túc xá Academia Sinica, các nhà nghiên cứu mới được thuê có thể mượn ký túc xá sinh viên mới được thuê bất cứ lúc nào trong vòng 5 năm kể từ khi nhậm chức, nhưng họ chỉ có thể mượn ký túc xá sinh viên mới thuê một phòng và nhiều phòng một lần. . Nói cách khác, những người mượn ký túc xá một phòng mới thuê không thể mượn ký túc xá một phòng mới sau khi chuyển đi.

Điều 5 của tiêu chuẩn phí ký túc xá Academia Sinica cũng quy định rằng người đi vay phải trả các khoản phí liên quan khi mượn ký túc xá."
