index,category,title,question,group,url,contact,answer
0,Bourse,Programme pilote TIGP-X,Quel type de plan est le programme pilote TIGP-X ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Le programme pilote TIGP-X est un programme développé conjointement par l'Academia Sinica et des universités étrangères pour former des doctorants internationaux. Son objectif est de promouvoir la coopération universitaire internationale, d'attirer des étudiants internationaux et d'encourager les chercheurs de l'Academia Sinica à coopérer avec des institutions universitaires étrangères. Le programme accorde également des bourses aux doctorants internationaux TIGP-X pour mener des recherches à l'Academia Sinica pendant la phase de recherche de thèse, afin d'augmenter le vivier de talents des doctorants."
1,Bourse,Programme pilote TIGP-X,Qui peut postuler à ce programme ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,Seuls les chercheurs qui sont chercheurs assistants ou au-dessus dans les instituts et centres de l'Academia Sinica peuvent postuler à ce plan.
2,Bourse,Programme pilote TIGP-X,Combien d'admissions sont prévues pour le programme pilote TIGP-X ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Le nombre d'admissions devant correspondre à la vacance des dortoirs TIGP, il est actuellement impossible de préciser le nombre d'admissions."
3,Bourse,Programme pilote TIGP-X,Quels sont les documents requis pour postuler à ce programme?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Pour postuler à ce programme, vous devez préparer les documents suivants: plan de coopération ou proposition de thèse de doctorat, dossier de candidature personnel du doctorant, lettre de recommandation du directeur de l'unité de coopération étrangère et lettre de consentement de l'école du doctorant. N'oubliez pas de consulter le formulaire de candidature en détail avant de postuler !"
4,Bourse,Programme pilote TIGP-X,Quelle est la procédure de candidature au programme pilote TIGP-X ? Combien de temps le processus d'examen prendra-t-il ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Le programme pilote TIGP-X a des procédures d'examen préliminaire et d'examen. Les candidats doivent soumettre à leur propre institut ou centre de recherche pour un examen préliminaire. Ensuite, l'institut et le centre de recherche du demandeur enverront une lettre au Bureau international accompagnée de l'avis d'examen initial (s'il y a plus de deux demandes dans la période en cours, un ordre de recommandation doit être fourni). Après cela, le Bureau international compilera les dossiers de candidature et les enverra à l'Academic Consulting Association pour examen.Le temps d'examen prendra environ 20 jours ouvrables. Ensuite, l'avis de réexamen sera communiqué avec les documents de candidature au président de l'Academia Sinica pour approbation. Une fois les résultats du réexamen approuvés, l'Academia Sinica informera les instituts et centres de recherche auxquels appartiennent les chercheurs."
5,Bourse,Programme pilote TIGP-X,Quelle est la date limite de candidature pour le programme pilote TIGP-X ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Il y a trois échelons de candidature chaque année, et les procédures d'examen initial et d'examen seront effectuées. Étant donné que les candidats doivent soumettre leur candidature à leur propre institut ou centre de recherche pour un examen préliminaire, la date limite de soumission des candidatures à l'institut ou au centre de recherche doit être confirmée par le candidat à l'institut ou au centre de recherche. Par la suite, les dates limites pour que l'institut et le centre de recherche du candidat envoient la lettre d'avis de révision initiale au Bureau international sont respectivement fin février, fin juin et fin octobre."
6,Bourse,Programme pilote TIGP-X,"Selon la date de recherche des doctorants à l'hôpital, comment choisir le niveau de candidature ?",l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"La manière de choisir le niveau de candidature est basée sur le temps estimé pour les doctorants d'étudier à l'Academia Sinica. S'il est prévu de commencer la recherche à l'Academia Sinica entre avril et juillet, l'institut/centre doit soumettre une demande avant la fin février ; s'il est prévu de commencer la recherche à l'Academia Sinica entre août et novembre, l'institut/centre Les demandes doivent être faite avant la fin du mois de juin ; enfin, s'il est prévu de commencer la recherche à l'Academia Sinica entre décembre et mars de l'année suivante, l'institut/centre doit faire une demande avant la fin du mois d'octobre."
7,Bourse,Programme pilote TIGP-X,"Les documents de candidature pour le programme pilote TIGP-X doivent être rédigés en anglais, n'est-ce pas ?",l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Oui, les documents de candidature pour le programme pilote TIGP-X doivent être rédigés en anglais."
8,Bourse,Programme pilote TIGP-X,De combien de lettres de recommandation ai-je besoin ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Vous devez préparer au moins une lettre de recommandation sous n'importe quelle forme, n'oubliez pas de l'écrire en anglais."
9,Bourse,Programme pilote TIGP-X,Combien de doctorants TIGP-X les chercheurs de l'Academia Sinica peuvent-ils accueillir au maximum chaque année ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,Les chercheurs de l'Academia Sinica peuvent recevoir au maximum une bourse de doctorant TIGP-X par an. Les étudiants doivent donc être sélectionnés avec soin et limités à un seul cas dans le même échelon.
10,Bourse,Programme pilote TIGP-X,"S'il y a un délai pour la réalisation du projet de recherche coopérative, doit-il être indiqué dans la demande?",l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Oui, s'il y a un délai pour la réalisation du projet de recherche coopérative, vous devez l'expliquer lors de votre demande."
11,Bourse,Programme pilote TIGP-X,"La période maximale de candidature pour la coopération de recherche dans le cadre du programme pilote TIGP-X est de 3 ans, n'est-ce pas ?",l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Oui, la période de candidature maximale pour la coopération en matière de recherche est de 3 ans. Au moins 1 an."
12,Bourse,Programme pilote TIGP-X,"Si vous êtes sélectionné, mais qu'en raison de circonstances particulières, les doctorants du TIGP-X ne peuvent pas venir à Taïwan comme prévu, devez-vous présenter une nouvelle demande et réviser ?",l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Oui, si un doctorant TIGP-X ne peut pas venir à Taïwan à l'heure d'origine en raison de circonstances particulières, le professeur co-directeur de l'Academia Sinica doit soumettre à nouveau la candidature et accepter l'examen."
13,Bourse,Programme pilote TIGP-X,Quels sont les deux types de récompenses du programme pilote TIGP-X ?,l'universitaire,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Le programme pilote TIGP-X a deux types de bourses. La première est ""TIGP-X Academia Sinica Scholarship International Doctoral Students"", qui reçoit essentiellement 34 000 NT$ de l'Academia Sinica et des chercheurs de l'Academia Sinica (candidats) chaque mois et une bourse de 16 000 yuan. S'il existe des circonstances particulières, il peut être soulevé au moment de la demande. Le deuxième type est ""TIGP-X Academia Sinica International Doctoral Students"". Les bourses reçues sont fournies par les chercheurs de l'Academia Sinica, et le montant doit répondre aux spécifications pertinentes des ""Academia Sinica Scholarship Funding Points"". Les doctorants sélectionnés sont collectivement dénommés doctorants TIGP-X."
