index,category,title,question,group,url,contact,answer
0,Attività scientifiche divulgative,Zhongyan Lecture Hall──Lezioni di divulgazione scientifica tra le contee e le città,"OH! Così divertente! L'Academia Sinica ha in realtà una ""Aula Magna dell'Academia Sinica - Lezioni di divulgazione scientifica nelle contee e nelle città"", dove si reca direttamente nelle contee e nelle città per fornire rapporti di ricerca al pubblico! (sospettare?)",Vita,None,Signorina Guo 2633,"OH! Bene! L'Academia Sinica ha davvero ""Aula Magna dell'Accademia Sinica - Conferenze di divulgazione scientifica in paesi e città"", dove i ricercatori dell'Accademia si recheranno in varie contee e città per condividere i risultati della loro ricerca! (Pollice su!)

OH! Sono stato in 9 contee e città! Il numero medio di candidati per ciascuna sessione è di 300 e il numero medio di visualizzazioni del video del discorso è di quasi 40.000 volte, con il numero più alto di quasi 70.000 volte! (shock!)

OH! Il primo quest'anno si terrà alla Wuling High School di Taoyuan! Informazioni dettagliate sulla registrazione"
1,Attività scientifiche divulgative,Zhongyan Lecture Hall──Lezioni di divulgazione scientifica tra le contee e le città,"Ah, ho sentito che siamo già andati in contee e città, e ci sono così tante persone che si iscrivono ad ogni sessione! (Eh?) Ci sono una media di 300 persone che si iscrivono e i video dei discorsi sono estremamente popolari, con il numero più alto di visualizzazioni pari a quasi 70.000 volte! (scioccato)",Vita,None,Signorina Guo 2633,"OK! Dal 2017 l'Academia Sinica tiene ""Aula magna dell'Academia Sinica - Conferenze di divulgazione scientifica tra paesi e città"", in modo che gli studenti di altre contee e città possano ascoltare le lezioni di ricerca dell'Academia Sinica senza essere influenzati da fattori come i trasporti e le condizioni urbano-rurali. disparità. Finora ha visitato 9 contee e città, con una media di 300 persone registrate per ogni sessione e una media di quasi 40.000 visualizzazioni dei video degli interventi, con il picco massimo di quasi 70.000 volte. In futuro, Academia Sinica continuerà a pianificare e organizzare eventi e darà priorità alla loro realizzazione in paesi e città che non ha mai visitato prima."
2,Attività scientifiche divulgative,Zhongyan Lecture Hall──Lezioni di divulgazione scientifica tra le contee e le città,"Wow, prima questa volta",Vita,None,Signorina Guo 2633,"Bene! Secondo la descrizione del testo, questa ""Lezione dell'Academia Sinica - Lezione di divulgazione scientifica tra paesi e città"" è condotta dai ricercatori dell'Academia Sinica per condividere i risultati della ricerca con il pubblico. Finora ha visitato 9 contee e città. Continuerà ad essere pianificato e tenuto in futuro, con priorità data alle contee che non sono state ancora visitate. Il primo evento si terrà presso la Taoyuan Wuling High School. Informazioni dettagliate sulla registrazione saranno annunciate sul sito ufficiale e sull'account Facebook ufficiale di Academia Sinica."
3,Attività scientifiche divulgative,Il campus è aperto,"È fantastico! Academia Sinica organizza ""visite aperte ai campus"" ogni ottobre?",Vita,None,Signorina Wang 9727,"Bene! Academia Sinica organizza il ""Campus Open House"" ogni ottobre dal 1992, e si tiene da 25 anni."
4,Attività scientifiche divulgative,Il campus è aperto,Quali attività di divulgazione scientifica verranno avviate da ciascun centro di ricerca di Academia Sinica?,Vita,None,Signorina Wang 9727,"Secondo la descrizione del testo, ogni centro di ricerca dell'Academia Sinica lancerà una serie di attività di divulgazione scientifica, tra cui conferenze, workshop, mostre, apprezzamenti video, esperienze interattive, artigianato e giochi genitore-figlio, ecc."
5,Attività scientifiche divulgative,Il campus è aperto,Alcune attività del giorno dell'evento saranno aperte anche alla partecipazione online?,Vita,None,Signorina Wang 9727,"Secondo la descrizione del testo, l'""Open House delle scuole"" di quest'anno si terrà sabato 21 ottobre. Ogni centro lancerà varie attività di divulgazione scientifica, come conferenze, workshop, mostre, apprezzamenti video ed esperienze interattive. , artigianato e giochi genitore-figlio, ecc. Alcune attività sono aperte anche alla partecipazione online. Il pubblico potrà verificare i contenuti dell'evento e le informazioni relative alla registrazione sul sito ufficiale di Academia Sinica."
6,Attività scientifiche divulgative,Il campus è aperto,"Quando verranno comunicate le informazioni dettagliate sull'evento ""Hospital Open House"" di quest'anno?",Vita,None,Signorina Wang 9727,"Secondo la pagina ""Attività Open House del Campus"" sul sito ufficiale dell'Academia Sinica, informazioni dettagliate sull'evento per le ""Attività Open House del Campus"" di quest'anno saranno annunciate il 21 ottobre."
7,Attività scientifiche divulgative,Il campus è aperto,Sono previste attività interattive specifiche per età il giorno dell'evento affinché i bambini possano sperimentare il divertimento della scienza?,Vita,None,Signorina Wang 9727,"Secondo il testo la risposta è sì. L'Academia Sinica organizza ogni anno gli “Open House Istituzionali” e programma attività interattive specifiche per età per permettere ai bambini di sperimentare il divertimento della scienza attraverso il gioco. Quest'anno non fa eccezione, non mancheranno le attività di divulgazione scientifica pensate per i bambini."
8,Attività scientifiche divulgative,Il campus è aperto,Come possono le persone iscriversi per partecipare?,Vita,None,Signorina Wang 9727,"Sulla base della seguente descrizione testuale, rispondi alle domande con il tono di un parlato quotidiano come segue:

""Se desideri partecipare alle ""attività di visita aperta al campus"", puoi controllare il ""contenuto dell'attività"" e le ""informazioni sulla registrazione"" sul ""sito ufficiale dell'apertura del campus"". Il sito Web fornisce anche un collegamento agli ""eventi passati"" e il pubblico può verificare le informazioni sull’attività degli ultimi tre anni. .”"
9,Attività scientifiche divulgative,Festa della conoscenza,"Ah! Davvero bella la “Knowledge Feast Series Popular Science Lecture Series” di Academia Sinica, che si tiene dal 1993! Sapete quante persone ne hanno beneficiato? 108 anni dopo, i video vocali o le trasmissioni dal vivo possono essere trasformati in contenuti didattici audiovisivi e caricati sull'account YouTube ufficiale. Che comodità! Se le persone vogliono vedere il contenuto dei discorsi precedenti, dove altro possono andare?",Vita,None,Signorina Wu 9726,"OK! L'Academia Sinica tiene le ""Lezioni di divulgazione scientifica della Festa della Conoscenza"" e le ""Lezioni di divulgazione scientifica del defunto Preside"" ogni anno dal 1993, ed è stata organizzata nelle ""Lezioni di divulgazione scientifica della Serie Festa della Conoscenza"" dal 108esimo anno della Repubblica Cinese. Queste conferenze invitano ricercatori provenienti da diversi campi di ricerca all'interno e all'esterno dell'istituto a tenere lezioni. Il contenuto è vivace e interessante e ogni sessione attira centinaia di residenti della comunità e giovani studenti. Negli ultimi anni, Academia Sinica ha registrato o trasmesso lezioni dal vivo e prodotto contenuti didattici audiovisivi."
10,Promozione scientifica popolare,Scopri qualcosa,"OH! Allora, cos’è esattamente la piattaforma di divulgazione scientifica “Yan Zhi You Wu” dell’Academia Sinica? Possono effettivamente presentare a tutti una ricerca scientifica così profonda in un modo di reporting grafico di facile comprensione, ed è davvero utile! (sospettare?)",Vita,http://research.sinica.edu.tw/,Signor Jane 2654,"OH! OK! La piattaforma di divulgazione scientifica ""Research on Things"" dell'Academia Sinica utilizza immagini e testi per presentare ciò che stanno facendo gli scienziati dell'Academia Sinica! Presenteranno al pubblico la conoscenza della ricerca scientifica in un modo di facile comprensione ed è davvero utile! (affermare!)

domanda:

OH! Allora come fanno a sapere come riportare la ricerca scientifica con immagini e testo? Sono previsti corsi o formazioni particolari?

Risposta:"
11,Promozione scientifica popolare,Scopri qualcosa,"Oh! Inaspettatamente, la piattaforma “Yanzhiyouwu” dell’Academia Sinica ha accumulato quasi 240 articoli scientifici popolari! (Spavento!) E non solo sulle piattaforme online nazionali e",Vita,http://research.sinica.edu.tw/,Signor Jane 2654,"Oh! La piattaforma ""Yan Zhi You Wu"" dell'Academia Sinica ha accumulato quasi 240 articoli scientifici popolari! (Spaventoso!) Ed è stato ristampato più di 700 volte non solo su piattaforme e media online nazionali! (Bene!) Inoltre, pubblicano anche il libro fisico ""What You Study: Traveling Through Ancient and Modern Times!"" I 25 corsi aperti di discipline umanistiche di Academia Sinica"" e ""Ricercare le cose apprese: vedere le piccole cose e comprendere le opere!"" 21 lezioni di scienze della vita da Academia Sinica”!"
12,Promozione scientifica popolare,mezzi di comunicazione sociale,"OH! Quindi, tutti devono essere curiosi, come fa Academia Sinica a promuovere i suoi risultati di ricerca nella comunità online? Quali ottimi servizi hanno?",Vita,https://www.facebook.com/sinicaedu/,Signor Chen 8059,"OH! OK! Academia Sinica ha davvero tanti progetti di servizio! Innanzitutto, condivideranno i risultati della ricerca e le conferenze scientifiche divulgative dell'Academia Sinica attraverso la loro pagina Facebook. In secondo luogo, apriranno account IG (Instagram) per facilitare ai giovani la comprensione delle ricerche dell'Academia Sinica. In terzo luogo, creeranno una piattaforma YouTube (il canale audio e video ufficiale di Academia Sinica) per condividere i risultati della ricerca di Academia Sinica con il pubblico attraverso video e audio online. Inoltre, utilizzeranno anche Facebook, IG, YouTube"
13,Promozione scientifica popolare,mezzi di comunicazione sociale,🤔Sono oltre 10.000 i fan che seguono la pagina Facebook di Academia Sinica! Ed è stato fondato in 105 anni!,Vita,https://www.facebook.com/sinicaedu/,Signor Chen 8059,"Bene! Secondo la descrizione testuale della pagina Facebook, Academia Sinica ha creato una pagina Facebook da più di cinque anni! Il numero di fan attualmente supera i 160.000! Inoltre, Academia Sinica ha anche aperto un account IG in modo che più giovani possano capire i risultati delle ricerche di Academia Sinica. ! Il numero di persone seguite è di circa 25.000! Academia Sinica ha anche creato un canale YouTube per condividere i risultati delle ricerche e divulgare lezioni di scienza attraverso video! Il numero di iscritti ha superato gli 8.000! In totale sono 300 i video sono stati caricati"
14,Promozione scientifica popolare,mezzi di comunicazione sociale,"😱E non solo, Academia Sinica ha aperto anche un conto IG affinché sempre più giovani generazioni possano comprendere i risultati della ricerca! Attualmente sono più di 50.000 le persone monitorate!",Vita,https://www.facebook.com/sinicaedu/,Signor Chen 8059,"OK! Secondo la descrizione del testo, l'Academia Sinica ha creato pagine Facebook, account IG, canali YouTube e altre piattaforme per facilitare al pubblico la comprensione dei risultati della ricerca e delle conferenze scientifiche divulgative dell'Academia Sinica. Tra questi, la pagina Facebook conta più di 160.000 fan, l'account IG ha più di 50.000 follower e il canale YouTube ha più di 8.000 iscritti."
15,Promozione scientifica popolare,mezzi di comunicazione sociale,📹,Vita,https://www.facebook.com/sinicaedu/,Signor Chen 8059,"OK! Secondo la descrizione del testo sopra, utilizzo il tono del discorso quotidiano per rispondere alle domande come segue:

Per promuovere i risultati della ricerca nella comunità online, Academia Sinica ha creato la pagina Facebook ""Academia Sinica"", che ha superato quota 160.000. Academia Sinica ha aperto un account IG nel 2018 per consentire a più giovani di comprendere i risultati delle ricerche di Academia Sinica, con circa 25.000 follower. Academia Sinica ha creato una piattaforma YouTube per condividere con il pubblico i risultati della ricerca e le conferenze scientifiche divulgative attraverso video online."
16,Attività artistiche e culturali,Attività artistiche e culturali,"OH! Allora, avete mai sentito parlare delle “attività artistiche e culturali” organizzate da Academia Sinica? (Guardando confuso le persone intorno a lui) Ogni anno, a settembre, aprono le domande per posti di spettacolo per il prossimo anno, e sono artisti individuali, gruppi di arti dello spettacolo, fondazioni culturali e artistiche, gruppi sociali, studi d'arte, ecc. si sono registrati presso le autorità governative. Possono presentare domanda istituzioni culturali, agenzie d'arte, ecc. (guardandosi stupiti).",Vita,None,Signorina Chen 9488,"OH! Bene! L'Academia Sinica aprirà le domande per i posti di spettacolo per il prossimo anno a settembre di ogni anno, e si rivolge a singoli artisti, gruppi di arti dello spettacolo, fondazioni culturali e artistiche, gruppi sociali, studi d'arte, istituzioni culturali, società di intermediazione artistica, ecc. che hanno registrati presso le autorità governative. , possono presentare domanda! (Il tono diventa sempre più acuto) Quindi, se vuoi vedere lo spettacolo, devi prima registrarti online! (Il tono diminuisce gradualmente) Altrimenti, puoi controllare le informazioni di registrazione solo sul sito ufficiale o su Facebook"
17,Attività artistiche e culturali,Attività artistiche e culturali,"Inoltre, ci sono così tante categorie di applicazioni (sorprendentemente)",Vita,None,Signorina Chen 9488,"OK! Secondo la descrizione del testo, questa attività è rivolta principalmente a coloro che sono qualificati per candidarsi per artisti individuali, gruppi di arti dello spettacolo, fondazioni culturali e artistiche, gruppi sociali, studi d'arte, istituzioni culturali, società di intermediazione artistica, ecc., e il luogo dello spettacolo si trova presso il Centro di attività accademica dell'Auditorium del Centro Academia Sinica o altro luogo di spettacolo idoneo. E' richiesta la registrazione on-line, non saranno accettate iscrizioni telefoniche o altre modalità.

Inoltre, ci sono così tante categorie di applicazioni! (sorpreso)"
