index,category,title,question,group,url,contact,answer
0,angkutan,Parkir Kampus,Apakah saya perlu membayar tol jika ingin parkir di kampus pada hari kerja?,Kehidupan,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Jika Anda memasuki kampus untuk parkir pada hari kerja, Anda perlu membayar biaya meteran. Periode pengisian daya adalah dari pukul 07:00 hingga 22:00, dan biayanya adalah 20 yuan per jam. Namun, kurang dari 30 menit dalam satu jam pertama gratis. Dari jam kedua, kurang dari 30 menit akan dikenakan biaya 10 yuan selama setengah jam, dan lebih dari 30 menit akan dikenakan biaya 20 yuan per jam."
1,angkutan,Parkir Kampus,Bagaimana proses aplikasi untuk biaya reguler?,Kehidupan,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Untuk mengajukan biaya reguler, Anda harus terlebih dahulu mengunduh formulir permohonan izin parkir dari situs web Kantor Urusan Umum, mengisinya, mencari stempel di jendela unit, lalu mengirimkannya ke Kantor Urusan Umum untuk aplikasi . Saat Anda diberi tahu bahwa Anda dapat mengambil tiket parkir dan membayar biayanya, aplikasi dianggap selesai."
2,angkutan,Parkir Kampus,Apa larangan dan peraturan untuk lokomotif di kampus?,Kehidupan,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Lokomotif sangat dibatasi di dalam kompleks. Kecuali mobil patroli dinas polisi dan regu garnisun, serta sepeda motor cacat, sepeda motor lain tidak boleh lewat di halaman. Lokomotif harus diparkir di tempat parkir yang ditentukan untuk lokomotif kecuali ada izin khusus untuk masuk ke rumah sakit dalam keadaan darurat."
3,angkutan,informasi lalu lintas,Di manakah lokasi Academia Sinica?,Kehidupan,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Academia Sinica terletak di No. 128, Bagian 2, Jalan Yuanyuan, Distrik Nangang, Kota Taipei."
4,angkutan,informasi lalu lintas,Bagaimana cara menanyakan berbagai moda transportasi ke Academia Sinica?,Kehidupan,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Anda dapat merujuk ke situs web ini (https://www.sinica.edu.tw/ch/articles/37) untuk mempelajari berbagai metode transportasi ke Academia Sinica.
5,angkutan,informasi lalu lintas,Di mana saya dapat mengunduh peta panduan kampus?,Kehidupan,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Peta panduan kampus dapat diunduh melalui website ini: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,angkutan,informasi lalu lintas,Apakah Academia Sinica memiliki atraksi atau fasilitas khusus?,Kehidupan,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Untuk atraksi atau fasilitas khusus Academia Sinica, silakan merujuk ke peta panduan kampus ini: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf, yang memiliki pengantar terperinci."
7,tinggal,Informasi asrama,Bisakah saya meminjam asrama untuk anggota baru kapan saja dalam 5 tahun?,Kehidupan,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ya, dalam waktu lima tahun menjabat, Anda dapat meminjam asrama untuk anggota baru kapan saja. Namun, perlu dicatat bahwa asrama mahasiswa baru dengan satu kamar dan banyak kamar hanya dapat dipinjam satu kali."
8,tinggal,Informasi asrama,Benarkah asrama satu kamar dan asrama mahasiswa baru dengan banyak kamar dapat dipinjam satu kali?,Kehidupan,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ya, peneliti yang baru direkrut dapat meminjam asrama satu kamar dan asrama multi kamar untuk sarjana yang baru direkrut sekali dalam lima tahun. Setelah meminjam asrama satu kamar, Anda tidak dapat lagi meminjam asrama satu kamar sewaan baru, tetapi Anda masih dapat meminjam asrama multikamar sewaan baru dalam waktu lima tahun."
9,tinggal,Informasi asrama,"Jika saya ingin meminjam asrama, pertama-tama saya harus meminta penyelenggara asrama dari masing-masing pusat untuk mengajukannya atas nama saya?",Kehidupan,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ya, jika Anda ingin meminjam asrama, pertama-tama Anda harus menghubungi sponsor asrama dari masing-masing pusat dan meminta mereka untuk mengajukan permohonan atas nama Anda."
