index,category,title,question,group,url,contact,answer
0,Transport,Campus-Parkplatz,"Muss ich Maut zahlen, wenn ich werktags auf dem Campus parken möchte?",Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Wenn Sie wochentags den Campus zum Parken betreten, müssen Sie eine Parkgebühr entrichten. Der Ladezeitraum ist von 7:00 bis 22:00 Uhr und die Gebühr beträgt 20 Yuan pro Stunde. Allerdings sind weniger als 30 Minuten in der ersten Stunde kostenlos. Ab der zweiten Stunde werden weniger als 30 Minuten mit 10 Yuan für eine halbe Stunde berechnet, und für mehr als 30 Minuten werden 20 Yuan pro Stunde berechnet."
1,Transport,Campus-Parkplatz,Wie läuft die Beantragung der regulären Gebühren ab?,Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Um eine reguläre Gebühr zu beantragen, müssen Sie zunächst das Antragsformular für eine Parkerlaubnis von der Website des Büros für Allgemeine Angelegenheiten herunterladen, es ausfüllen, ein Siegel am Fenster der Einheit finden und es dann zur Beantragung an das Büro für Allgemeine Angelegenheiten senden . Wenn Ihnen mitgeteilt wird, dass Sie den Parkausweis abholen und die Gebühr bezahlen können, gilt der Antrag als abgeschlossen."
2,Transport,Campus-Parkplatz,Welche Einschränkungen und Vorschriften gelten für Lokomotiven auf dem Campus?,Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Der Verkehr mit Lokomotiven ist innerhalb des Geländes streng eingeschränkt. Mit Ausnahme der offiziellen Streifenwagen der Polizeistation und des Garnisonskommandos sowie Behindertenmotorrädern ist die Durchfahrt anderer Motorräder im Hof ​​nicht gestattet. Die Lokomotiven sollten auf dem ausgewiesenen Lokomotivparkplatz abgestellt werden, es sei denn, es besteht eine Sondergenehmigung zum Betreten des Krankenhauses im Notfall."
3,Transport,Verkehrsinformationen,Wo befindet sich die Academia Sinica?,Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Die Academia Sinica befindet sich in Nr. 128, Abschnitt 2, Yuanyuan Road, Bezirk Nangang, Stadt Taipeh."
4,Transport,Verkehrsinformationen,Wie erkundige ich mich nach den verschiedenen Transportmitteln zur Academia Sinica?,Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Auf dieser Website (https://www.sinica.edu.tw/ch/articles/37) erfahren Sie mehr über die verschiedenen Transportmöglichkeiten zur Academia Sinica.
5,Transport,Verkehrsinformationen,Wo kann ich den Campus-Wegweiser herunterladen?,Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Sie können den Campus-Leitplan über diese Website herunterladen: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,Transport,Verkehrsinformationen,Verfügt die Academia Sinica über besondere Attraktionen oder Einrichtungen?,Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Informationen zu den besonderen Attraktionen oder Einrichtungen der Academia Sinica finden Sie in diesem Campus-Leitplan: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf, der eine detaillierte Einführung enthält."
7,bleiben,Informationen zum Wohnheim,Kann ich das Wohnheim innerhalb von 5 Jahren jederzeit für Nachwuchskräfte ausleihen?,Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ja, innerhalb von fünf Jahren nach Amtsantritt können Sie das Wohnheim jederzeit für Nachwuchskräfte ausleihen. Allerdings ist zu beachten, dass die Ein- und Mehrraum-Neubauwohnheime jeweils nur einmal ausgeliehen werden können."
8,bleiben,Informationen zum Wohnheim,"Stimmt es, dass das Einzimmerwohnheim und das Mehrzimmer-Neubauwohnheim einmalig ausgeliehen werden können?",Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ja, neu rekrutierte Wissenschaftler können das Einzimmerwohnheim und das Mehrzimmerwohnheim für neu rekrutierte Wissenschaftler einmal innerhalb von fünf Jahren ausleihen. Nach der Ausleihe eines Einzimmerwohnheims können Sie kein neu gemietetes Einzimmerwohnheim mehr ausleihen, wohl aber innerhalb von fünf Jahren ein neu gemietetes Mehrzimmerwohnheim."
9,bleiben,Informationen zum Wohnheim,"Wenn ich ein Wohnheim ausleihen möchte, sollte ich zuerst die Wohnheimorganisatoren jedes Zentrums bitten, es in meinem Namen zu beantragen?",Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ja, wenn Sie ein Wohnheim ausleihen möchten, sollten Sie sich zunächst an die Wohnheimsponsoren der einzelnen Zentren wenden und sie bitten, sich in Ihrem Namen zu bewerben."
10,bleiben,Informationen zum Wohnheim,Welche Einschränkungen gibt es bei der Ausleihe des Wohnheims für neu rekrutierte Studierende?,Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Beschränkungen für die Ausleihe von Wohnheimen für neu eingestellte Wissenschaftler, einschließlich der Tatsache, dass Forscher jederzeit innerhalb von fünf Jahren nach ihrer Ernennung Wohnheime für neu eingestellte Wissenschaftler (unterteilt in Wohnheime mit einem oder mehreren Zimmern) ausleihen können, wobei jede Art von Wohnheimen nur ausgeliehen werden kann einmal. Detaillierte Ausleihbestimmungen finden Sie auf der Website „Academia Sinica Dormitory Management Points“: https://dga.sinica.edu.tw/posts/78695. Wenn Sie andere Arten von Wohnheimen übertragen müssen, müssen Sie sich ebenfalls an die entsprechenden Vorschriften halten."
11,bleiben,Informationen zum Wohnheim,Muss ich die Möbel und Haushaltsgeräte für das Wohnheim selbst vorbereiten?,Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ja, das Wohnheim stellt keine Möbel und Geräte zur Verfügung, Sie müssen diese selbst vorbereiten."
12,bleiben,Informationen zum Wohnheim,Bietet das Wohnheim Parkplätze und kostenlosen Internetzugang?,Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Im Wohnheim gibt es einen Parkplatz, den Sie gegen Gebühr ausleihen können. Die kostenfreie Nutzung des Internets können Sie bei der Informationsservicestelle beantragen."
13,bleiben,Informationen zum Wohnheim,"Muss ich den ursprünglichen Zustand des Wohnheims wiederherstellen und großen Müll entfernen, wenn ich auschecke?",Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Ja, die Schlafsäle müssen beim Check-out in ihren ursprünglichen Zustand zurückversetzt und große Trümmer entfernt werden."
14,bleiben,Informationen zum Wohnheim,Wie erfahren Sie den geografischen Standort und die Transportart des neu eingestellten Studentenwohnheims?,Leben,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"Um die geografische Lage und die Transportmöglichkeiten des Wohnheims für neu rekrutierte Studierende zu erfahren, können Sie sich bei den Wohnheimorganisatoren der einzelnen Zentren erkundigen."
15,Kommunikation,Kostenzuschuss für Aktivitätstelefonkommunikation,"Woher weiß ich, ob ich Anspruch auf den Mobilfunkzuschuss habe?",Leben,https://dga.sinica.edu.tw/posts/78974,02-2789-9730,"Um herauszufinden, ob Sie berechtigt sind, einen Zuschuss für die Mobilfunkgebühr zu beantragen, können Sie sich die Einrichtungen der Academia Sinica ansehen, die die Mobilfunkgebühr zahlen, darunter eine Reihe von Positionen wie Dekan und Vizepräsident. Wenn Ihre Position auf dieser Liste steht, sind Sie möglicherweise berechtigt. Der Unternehmer, der besondere Geschäfte tätigt, kann den Fall auch unterzeichnen und den Präsidenten oder sein bevollmächtigtes Personal bitten, ihn zu genehmigen und entsprechend zu behandeln. Spezifische Qualifikationen und detaillierte Regelungen finden Sie auf der entsprechenden Website der Academia Sinica."
16,Kommunikation,Kostenzuschuss für Aktivitätstelefonkommunikation,Die Höhe der Förderung wird in verschiedene Beträge aufgeteilt. Auf welcher Grundlage wird sie ermittelt?,Leben,https://dga.sinica.edu.tw/posts/78974,02-2789-9730,"Die unterschiedliche Höhe des Zuschusses richtet sich nach der Lage. Voller Zuschuss für den Dekan, den Vizepräsidenten und den Generalsekretär des Instituts; den Geschäftsführer und stellvertretenden Geschäftsführer der Academic Consulting Association; den Direktor und stellvertretenden Direktor des Forschungsinstituts; den Direktor und stellvertretenden Direktor des Vorbereitungsbüros des Forschungsinstituts; der Direktor und stellvertretende Direktor des Forschungszentrums; der stellvertretende Direktor Der Generalsekretär, die Direktoren von Abteilungen, Büros und Zentraleinheiten usw. erhalten einen monatlichen Zuschuss von 1.000 NT$; der ausschließliche Fahrer des Dekan, Vizepräsident und Generalsekretär erhalten einen monatlichen Zuschuss von 500 NT$. Handelt es sich um einen besonderen Betrieb, kann dieser nach Zustimmung des Dekans oder seines Beauftragten gefördert werden."
17,Kommunikation,Kostenzuschuss für Aktivitätstelefonkommunikation,"Was muss ich tun, wenn ich aufgrund besonderer betrieblicher Anforderungen Fördermittel beantrage?",Leben,https://dga.sinica.edu.tw/posts/78974,02-2789-9730,"Wenn Sie aufgrund besonderer geschäftlicher Anforderungen einen Zuschuss beantragen, können Sie das Antragsformular für die Zuschussgebühr für Mobiltelefone der Academia Sinica einreichen. Den Inhalt des Formulars finden Sie unter dieser URL: https://dga.sinica.edu.tw/posts/78974. Anschließend kann das Projekt unterzeichnet und vom Dekan oder seinem zur Förderung befugten Personal genehmigt werden."
18,Kommunikation,Kostenzuschuss für Aktivitätstelefonkommunikation,Muss die Mobiltelefonnummer auf den Namen der Academia Sinica registriert sein?,Leben,https://dga.sinica.edu.tw/posts/78974,02-2789-9730,"Ja, alle Telefonnummern, für die die Academia Sinica die Mobilfunkgebühr übernimmt, müssen auf den Namen der Academia Sinica registriert sein."
19,Kommunikation,Kostenzuschuss für Aktivitätstelefonkommunikation,Wo kann ich mich nach näheren Förderregelungen erkundigen?,Leben,https://dga.sinica.edu.tw/posts/78974,02-2789-9730,"Wenn Sie detailliertere Förderregelungen erfahren möchten, können Sie sich auf der Website der Academia Sinica’s Supplementary Regulations on Handling Principles of Mobile Phone Communication Fees informieren: https://dga.sinica.edu.tw/posts/78724."
20,Saal,Kindergarten,"Ist dieser Kindergarten in kleine Klassen, mittlere Klassen, große Klassen und altersgemischte Klassen unterteilt?",Leben,https://kindergarten.sinica.edu.tw/,02-2787-1451,"Ja, dieser Kindergarten ist in eine kleine Klasse, eine mittlere Klasse, eine große Klasse und eine altersgemischte Klasse unterteilt, also insgesamt vier Klassen."
21,Saal,Kindergarten,"In jeder Klasse sind doch 30 Kinder, oder?",Leben,https://kindergarten.sinica.edu.tw/,02-2787-1451,"Ja, in jeder Klasse sind 30 Kinder."
22,Saal,Kindergarten,Wird die Rekrutierung neuer Studierender jedes Jahr Ende April bekannt gegeben?,Leben,https://kindergarten.sinica.edu.tw/,02-2787-1451,"Ja, jedes Jahr Ende April wird die Rekrutierung neuer Schüler aus Kleinklassen und altersgemischten Klassen bekannt gegeben."
