index,category,title,question,group,url,contact,answer
0,Hoạt động khoa học phổ biến,Giảng đường Zhongyan──Bài giảng phổ biến khoa học xuyên quận và thành phố,"Ồ! Rất vui! Academia Sinica thực sự có một ""Phòng giảng Academia Sinica - Bài giảng phổ biến khoa học trên khắp các quận và thành phố"", nơi nó đi thẳng đến các quận và thành phố để cung cấp báo cáo nghiên cứu cho công chúng! (nghi ngờ?)",Mạng sống,None,Cô Quách 2633,"Ồ! Tốt! Academia Sinica thực sự có ""Phòng giảng Academia Sinica - Bài giảng phổ biến khoa học trên khắp các quận và thành phố"", nơi các nhà nghiên cứu từ học viện sẽ đến nhiều quận và thành phố khác nhau để chia sẻ kết quả nghiên cứu của họ! (Đồng ý!)

Ồ! Tôi đã đến 9 quận và thành phố! Số lượng người đăng ký trung bình cho mỗi buổi là 300, số lượt xem trung bình của video bài phát biểu là gần 40.000 lần, cao nhất là gần 70.000 lần! (sốc!)

Ồ! Lễ hội đầu tiên trong năm nay sẽ được tổ chức tại trường trung học Wuling ở Đào Viên! Thông tin đăng ký chi tiết"
1,Hoạt động khoa học phổ biến,Giảng đường Zhongyan──Bài giảng phổ biến khoa học xuyên quận và thành phố,"À, tôi nghe nói chúng tôi đã đi đến các quận và thành phố, mỗi buổi đều có rất nhiều người đăng ký! (Hả?) Trung bình có 300 người đăng ký và các video phát biểu cực kỳ nổi tiếng, với số lượt xem cao nhất là gần 70.000 lần! (Sốc)",Mạng sống,None,Cô Quách 2633,"ĐƯỢC RỒI! Academia Sinica đã tổ chức ""Bài giảng của Academia Sinica—Các bài giảng phổ biến khoa học giữa các quận và thành phố"" kể từ năm 2017, để sinh viên từ các quận và thành phố khác có thể nghe các bài giảng nghiên cứu của Academia Sinica mà không bị ảnh hưởng bởi các yếu tố như giao thông và thành thị-nông thôn khác biệt. Cho đến nay, nó đã đến thăm 9 quận và thành phố, với trung bình 300 người đăng ký mỗi buổi và trung bình gần 40.000 lượt xem video bài phát biểu, trong đó cao nhất là gần 70.000 lần. Trong tương lai, Academia Sinica sẽ tiếp tục lên kế hoạch và tổ chức các sự kiện, đồng thời sẽ ưu tiên tổ chức chúng ở các quận và thành phố mà họ chưa từng ghé thăm trước đây."
2,Hoạt động khoa học phổ biến,Giảng đường Zhongyan──Bài giảng phổ biến khoa học xuyên quận và thành phố,Ôi lần này là thứ 1,Mạng sống,None,Cô Quách 2633,"Tốt! Theo mô tả văn bản, ""Bài giảng của Học viện Sinica - Bài giảng Phổ biến Khoa học xuyên quận và Thành phố"" này được thực hiện bởi các nhà nghiên cứu của Học viện Sinica để chia sẻ kết quả nghiên cứu với công chúng. Cho đến nay, nó đã đến thăm 9 quận và thành phố. Nó sẽ tiếp tục được thực hiện được quy hoạch và tổ chức trong tương lai, ưu tiên cho các quận chưa được đến thăm. Sự kiện đầu tiên sẽ được tổ chức tại trường trung học Đào Viên Wuling, thông tin đăng ký chi tiết sẽ được công bố trên trang web chính thức và tài khoản Facebook chính thức của Academia Sinica."
3,Hoạt động khoa học phổ biến,Khuôn viên trường đang mở,"Thật tuyệt! Academia Sinica có tổ chức ""các chuyến thăm mở khuôn viên trường"" vào tháng 10 hàng năm không?",Mạng sống,None,Cô Vương 9727,"Tốt! Academia Sinica đã tổ chức ""Campus Open House"" vào tháng 10 hàng năm kể từ năm 1992 và nó đã được tổ chức trong 25 năm."
4,Hoạt động khoa học phổ biến,Khuôn viên trường đang mở,Mỗi trung tâm nghiên cứu của Academia Sinica sẽ triển khai những hoạt động phổ biến khoa học nào?,Mạng sống,None,Cô Vương 9727,"Theo mô tả văn bản, mỗi trung tâm nghiên cứu của Academia Sinica sẽ triển khai nhiều hoạt động phổ biến khoa học, bao gồm các bài giảng, hội thảo, triển lãm, đánh giá video, trải nghiệm tương tác, thủ công mỹ nghệ và trò chơi giữa cha mẹ và con cái, v.v."
5,Hoạt động khoa học phổ biến,Khuôn viên trường đang mở,Liệu một số hoạt động trong ngày diễn ra sự kiện có được mở cho người tham gia trực tuyến không?,Mạng sống,None,Cô Vương 9727,"Theo mô tả văn bản, ""School Open House"" năm nay sẽ được tổ chức vào ngày 21 tháng 10, một ngày thứ Bảy. Mỗi trung tâm sẽ triển khai các hoạt động phổ biến khoa học khác nhau, chẳng hạn như bài giảng, hội thảo, triển lãm, đánh giá video và trải nghiệm tương tác. , thủ công mỹ nghệ và trò chơi cha mẹ và con cái, v.v. Một số hoạt động cũng được mở cho sự tham gia trực tuyến. Công chúng có thể kiểm tra nội dung sự kiện và thông tin liên quan đến đăng ký trên trang web chính thức của Academia Sinica."
6,Hoạt động khoa học phổ biến,Khuôn viên trường đang mở,Khi nào thông tin sự kiện chi tiết của “Hospital Open House” năm nay sẽ được công bố?,Mạng sống,None,Cô Vương 9727,"Theo trang ""Hoạt động Open House"" trên trang web chính thức của Academia Sinica, thông tin sự kiện chi tiết cho ""Hoạt động Open House"" năm nay sẽ được công bố vào ngày 21 tháng 10."
7,Hoạt động khoa học phổ biến,Khuôn viên trường đang mở,Có hoạt động tương tác dành riêng cho lứa tuổi nào được lên kế hoạch vào ngày diễn ra sự kiện để trẻ trải nghiệm niềm vui khoa học không?,Mạng sống,None,Cô Vương 9727,"Theo văn bản, câu trả lời là có. Academia Sinica tổ chức ""Nhà mở của tổ chức"" hàng năm và lên kế hoạch cho các hoạt động tương tác dành riêng cho lứa tuổi để cho phép trẻ em trải nghiệm niềm vui của khoa học thông qua các trò chơi. Năm nay cũng không ngoại lệ, sẽ có các hoạt động phổ biến khoa học dành cho trẻ em."
8,Hoạt động khoa học phổ biến,Khuôn viên trường đang mở,Làm thế nào mọi người có thể đăng ký tham gia?,Mạng sống,None,Cô Vương 9727,"Dựa vào mô tả văn bản sau, hãy trả lời các câu hỏi bằng giọng nói hàng ngày như sau:

""Nếu bạn muốn tham gia vào ""các hoạt động tham quan mở trường"", bạn có thể kiểm tra ""nội dung hoạt động"" và ""thông tin đăng ký"" trên ""trang web chính thức của trường mở"". Trang web cũng cung cấp liên kết đến ""các sự kiện trong quá khứ"" và công chúng có thể kiểm tra thông tin hoạt động trong ba năm qua.”"
9,Hoạt động khoa học phổ biến,Lễ tri thức,"Ah! “Chuỗi Bữa tiệc Tri thức” của Academia Sinica thực sự rất hay, được tổ chức từ năm 1993! Bạn có biết bao nhiêu người đã được hưởng lợi không? 108 năm sau, video bài phát biểu hoặc chương trình phát sóng trực tiếp có thể được chuyển thành nội dung học tập nghe nhìn và tải lên tài khoản YouTube chính thức. Nếu mọi người muốn xem nội dung các bài phát biểu trước đó thì họ có thể đi đâu khác?",Mạng sống,None,Cô Ngô 9726,"ĐƯỢC RỒI! Academia Sinica đã tổ chức ""Bài giảng phổ biến khoa học trong Lễ hội kiến ​​thức"" và ""Bài giảng phổ biến khoa học của cố trưởng khoa"" hàng năm kể từ năm 1993, và được tổ chức thành ""Bài giảng phổ biến khoa học chuỗi lễ hội kiến ​​thức"" kể từ năm thứ 108 của Cộng hòa Trung Hoa. Các bài giảng này mời các nhà nghiên cứu từ các lĩnh vực nghiên cứu khác nhau trong và ngoài viện đến giảng bài, nội dung sinh động, thú vị, mỗi buổi thu hút hàng trăm cư dân cộng đồng và sinh viên trẻ. Trong những năm gần đây, Academia Sinica đã ghi hình hoặc phát sóng các bài giảng trực tiếp và sản xuất nội dung học tập nghe nhìn."
