index,category,title,question,group,url,contact,answer
0,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,Чи можуть дослідники або технічні працівники Academia Sinica займати інші штатні державні посади?,персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Ні, якщо інше не передбачено законами та правилами, дослідники або технічні працівники Academia Sinica не можуть одночасно обіймати інші державні посади на повний робочий день."
1,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,"Якщо є ліцензія на іншу роботу, чи можуть дослідники Academia Sinica одночасно займатися іншими ліцензованими видами діяльності?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Як правило, дослідники та технічні працівники Academia Sinica не можуть одночасно займатися іншими ліцензованими професіями. Маються на увазі роботи, для виконання яких потрібна спеціальна ліцензія або ліцензія. Звичайно, якщо робота соціального характеру, або ненормована і безперервна робота, вона може виконуватися в неробочий час. Крім того, якщо Academia Sinica підтвердить, що ці завдання належать до категорії навчання чи дослідження, то це теж можливо."
2,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,"Якщо я дослідник в Academia Sinica, чи можу я брати участь у соціальних заходах у неробочий час?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Звичайно, ви можете, якщо ваші соціальні заходи здійснюються в неробочий час і не впливають на вашу роботу, тоді взагалі немає жодних проблем."
3,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,Чи можуть дослідники в Academia Sinica займати певні прибуткові посади?,персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Так, але лише після перевірки та схвалення Academia Sinica."
4,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,"Якщо я дослідник в Academia Sinica, чи можу я одночасно виконувати функції редактора навчальної програми, встановленої Міністерством освіти, і видавця підручників?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Якщо ви є дослідником в Academia Sinica, можна одночасно виступати в якості організації, яка видає підручники для редагування навчальної програми, встановленої Міністерством освіти, оскільки це не передбачає ділових операцій."
5,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,"Припустімо, я хочу одночасно зайнятися іншим бізнесом, чи потрібно мені спочатку пройти перевірку Academia Sinica?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Так, якщо ви хочете паралельно займатися іншим бізнесом, вам потрібно спочатку отримати схвалення Academia Sinica. Якщо це не видавнича організація, яка також виконує функції редактора для академічних журналів, книжкових серій і планів курсів, визначених Міністерством освіти, ці посади не передбачають ділових операцій або визначені Academia Sinica як належні до сфери діяльності викладацька чи науково-дослідна робота. Якщо ви берете участь у соціальному забезпеченні чи іншій одноразовій безперервній роботі поза робочим часом, немає потреби обмежувати це. Однак державні посади та галузь сертифікації з винятковими правилами управління не можуть обіймати одночасно."
6,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,"Якщо я часто виконую роботу, але це не впливає на мою початкову роботу, чи можу я виконувати це одночасно?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Якщо ви є дослідником або техніком-дослідником в Academia Sinica, зазвичай ви не можете виконувати інші роботи одночасно. Але є винятки. Наприклад, якщо ви займаєтесь соціальною діяльністю в неробочий час або виконуєте дуже випадкову та непостійну роботу, то це нормально. Або, якщо робота є викладацькою чи дослідницькою, якщо Academia Sinica перевірила її та визначила, що вона належить до цієї категорії, тоді ви можете виконувати її одночасно. Тож вам потрібно перевірити, чи робота, на якій ви часто працюєте, відповідає цим умовам."
7,неповний робочий день,Стиль контролю роботи за сумісництвом (1) Заборонена категорія,"Який обсяг конкретних комерційних позицій, які приносять прибуток, і які процедури необхідні для отримання схвалення Academia Sinica?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Конкретні комерційні посади можуть стосуватися посад, пов’язаних із професією дослідника, які спочатку мають бути застосовані до Academia Sinica, і можуть використовуватися одночасно лише після їх перегляду та затвердження. Конкретні процедури перегляду чітко не викладені в тексті, і вам, можливо, знадобиться ознайомитися з відповідними положеннями Academia Sinica, щоб знати."
8,неповний робочий день,Стиль контролю за сумісництвом (2) категорія спеціального дозволу,За яких обставин дослідники та технічні працівники Academia Sinica можуть займати посади в прибуткових підприємствах?,персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Дослідники та технічні працівники Academia Sinica повинні спочатку отримати дозвіл від Academia Sinica, якщо вони хочуть зайняти прибуткові посади в бізнесі. Після виконання цієї умови є п’ять можливих сценаріїв. Перший — бути призначеним або рекомендованим державним агентством з управління акціонерним капіталом на посаду директора, керівника або на подібну посаду державного підприємства прямого чи непрямого інвестування. По-друге, особа, яка керує технологією R&D, може бути директором новоствореної компанії, яка має договір про передачу технологій з Academia Sinica, але в межах терміну дії контракту. По-третє, вони використовують науково-дослідні досягнення Academia Sinica, щоб почати бізнес і стати підприємцями, але якщо вони займають адміністративну посаду в Academia Sinica, вони не можуть цього зробити. По-четверте, вони можуть бути незалежними директорами державних підприємств, зареєстрованих на біржі компаній, банків або дочірніх компаній, що займаються продажем цінних паперів, які мають договір про галузеву дослідницьку співпрацю з Academia Sinica, але аналогічно вони не можуть цього робити, якщо займають адміністративні посади в Academia Sinica. . Остання ситуація полягає в тому, що вони можуть займати непрацюючі комерційні посади в прибуткових підприємствах, які мають контракт з Academia Sinica протягом терміну дії контракту. Якщо вони не підписали договір про передачу технологій або фінансування досліджень з Academia Sinica, їх одночасне перебування в одній компанії не може перевищувати одного року, але його можна продовжити на один рік."
9,неповний робочий день,Стиль контролю за сумісництвом (2) категорія спеціального дозволу,Як довго постачальник технологій R&D Academia Sinica виконує обов’язки директора новоствореної компанії?,персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Постачальник технологій R&D Academia Sinica є директором новоствореної компанії, і одночасний термін має бути в межах терміну дії контракту про передачу технологій."
10,неповний робочий день,Стиль контролю за сумісництвом (2) категорія спеціального дозволу,"Якщо дослідник одночасно обіймає адміністративну посаду в Academia Sinica, чи може він також займати інші посади?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Якщо дослідник також обіймає адміністративну посаду в Academia Sinica, він більше не може обіймати такі посади, як директори чи незалежні директори стартап-компаній. Однак вони все ще можуть обіймати посади, призначені державними агентствами з управління капіталом, або невиконавчі бізнес-посади для науково-дослідних бізнес-потреб. Це перелік інших обов’язків, які вони можуть виконувати одночасно з адміністративними обов’язками."
11,неповний робочий день,Стиль контролю за сумісництвом (2) категорія спеціального дозволу,"Чи може дослідник займати невиконавчу бізнес-посаду в комерційному підприємстві, яке має контракт з Academia Sinica, якщо цього вимагає науковий дослідницький бізнес?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Так, якщо це вимагається науковими дослідженнями, дослідники можуть обіймати невиконавчі посади в комерційних компаніях, які мають контракти з Academia Sinica. Але їх володіння має бути протягом терміну дії договору. Якщо комерційне підприємство не підписало договір з Academia Sinica про передачу технологій або фінансування досліджень, то вони можуть працювати лише на один рік, але його можна продовжити на один рік."
12,неповний робочий день,Стиль контролю за сумісництвом (2) категорія спеціального дозволу,"Якщо дослідники не підписують договори про передачу технологій або фінансування досліджень з Academia Sinica, як довго вони можуть працювати одночасно в інших комерційних підприємствах?",персоналу,хттпс://ввв.синица.еду.тв/ч/артіцлес/332,Кадрова служба Academia Sinica,"Якщо дослідники не підписали договір з Academia Sinica про передачу технологій або фінансування досліджень, вони можуть одночасно займатися іншими комерційними підприємствами протягом одного року. Однак можливе продовження ще на рік."
