category,title,question,group,url,contact,answer
獎助學金,TIGP-X Pilot Program,TIGP-X Pilot Program是為了什麼目的而設立的？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,TIGP-X Pilot Program 是為了促進國際學術合作、吸引國際學生、鼓勵中研院研究人員與國外學術研究機構合作，同時也是為了支持TIGP-X國際博士生在中研院進行論文研究，以增加博士研究生的人才儲備，所以特別訂定這個計畫。
獎助學金,TIGP-X Pilot Program,誰可以申請這個計畫呢？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,這個計畫只限於任職在中研院各研究所、中心的助研究員（含）以上的研究人員可以申請。
獎助學金,TIGP-X Pilot Program,申請時需要準備哪些文件？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,申請時需要準備的文件包括合作計畫書（或博士論文計畫書）、博士生的個人申請資料、國外合作單位指導教授的推薦函和博士生就讀學校的同意書。先提交給中研院研究人員所屬研究所、中心進行初審，而後再提交給國際處。
獎助學金,TIGP-X Pilot Program,申請過程中會經過哪些審查階段？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,申請過程中會先在中研院研究人員所屬研究所、中心進行初審，然後由國際處彙整申請案件送到學術諮詢總會進行複審，複審結果核定後將通知中研院研究人員所屬的研究所、中心。
獎助學金,TIGP-X Pilot Program,審查重點會考慮哪些方面呢？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,審查重點會考慮合作學研單位的學術競爭力、合作計畫的前瞻性和未來影響力等方面。
獎助學金,TIGP-X Pilot Program,每年有幾次申請機會？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,每年有三次申請機會。
獎助學金,TIGP-X Pilot Program,各梯次申請的截止日期分別是什麼時候？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,各梯次申請的截止日期分別是2月底、6月底和10月底。
獎助學金,TIGP-X Pilot Program,如何根據博士生到院研究日期選擇適合的申請梯次？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,選擇申請梯次要根據博士生預計到中研院研究的時間。如果預計在4月到7月之間到中研院，應該在2月底前提出申請；如果預計在8月到11月之間到中研院，應該在6月底前提出申請；如果預計在12月到3月之間到中研院，應該在10月底前提出申請。
獎助學金,TIGP-X Pilot Program,TIGP-X Pilot Program 的申請資料都要用英文書寫嗎？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,是的，TIGP-X Pilot Program 的申請資料都需要用英文書寫。
獎助學金,TIGP-X Pilot Program,推薦信有沒有特定的格式要求？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,推薦信沒有特定格式要求，形式不拘。
