index,category,title,question,group,url,contact,answer
0,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Bewerber für das TIGP-X-Pilotprogramm sind auf Forscher beschränkt, die als wissenschaftliche Mitarbeiter (einschließlich) oder höher in verschiedenen Instituten und Zentren der Academia Sinica tätig sind. Sie können Bewerbungen bei der Academia Sinica einreichen. Warum?",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Gemäß den Bestimmungen des TIGP-X-Pilotprogramms sind die Bewerber auf Forscher beschränkt, die als wissenschaftliche Mitarbeiter (einschließlich) oder höher in verschiedenen Instituten und Zentren der Academia Sinica tätig sind. Der Hauptzweck besteht in der Förderung der internationalen akademischen Zusammenarbeit und der Rekrutierung internationaler Studierender Um den Talentpool der Doktoranden zu bereichern, sind die Bewerberqualifikationen auf Forscher der Academia Sinica beschränkt. Darüber hinaus sind aus Vorsichtsgründen Vorprüfungs- und Nachprüfungsverfahren zur Sicherung der wissenschaftlichen Qualität der kooperativen Forschungseinrichtungen eingerichtet."
1,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Antwort: Da das TIGP-X-Pilotprogramm auf dem Geist der Förderung der internationalen akademischen Zusammenarbeit und der Rekrutierung internationaler Studierender basiert, sind Bewerber auf Forscher beschränkt, die wissenschaftliche Mitarbeiter (einschließlich) oder höher sind und in verschiedenen Instituten und Zentren der Academia Sinica arbeiten. Eingereicht von Academia Sinica",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Basierend auf der obigen Textbeschreibung schlage ich vor, dass Sie bei der Beantwortung von Fragen den Tonfall der Alltagssprache verwenden und die Verwendung von Partikeln vermeiden sollten.

Frage: Bitte erläutern Sie, dass Bewerber für das TIGP-X-Pilotprogramm auf Forscher beschränkt sind, die als wissenschaftliche Mitarbeiter (einschließlich) oder höher in verschiedenen Instituten und Zentren der Academia Sinica arbeiten. Sie können Bewerbungen bei der Academia Sinica einreichen.

Antwort: Gemäß den Kernpunkten des TIGP-X-Pilotprogramms sind die Bewerber auf wissenschaftliche Mitarbeiter beschränkt, die in verschiedenen Forschungsinstituten und Zentren der Academia Sinica arbeiten"
2,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Was sollte Ihrer Meinung nach in den Bewerbungsunterlagen hervorgehoben werden, wenn Sie sich für das TIGP-X-Pilotprogramm bewerben möchten?",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Wenn Sie sich für das TIGP-Xkiot-Programm bewerben möchten, sollten meiner Meinung nach die folgenden Punkte in den Bewerbungsunterlagen hervorgehoben werden:

1. In englischer Sprache verfasst: Da die Bewerbungsunterlagen für das TIGP-X-Pilotprogramm in englischer Sprache verfasst sein müssen, sollte besonderes Augenmerk auf die Richtigkeit und Vollständigkeit der englischen Texte gelegt werden.
2. Empfehlungsschreiben können in beliebiger Form vorliegen: Das TIGP-X-Pilotprogramm hat keine feste Form von Empfehlungsschreiben. Bewerber können ihre eigenen Empfehlungsschreiben auswählen, sollten jedoch auf die Empfehlungsschreiben achten."
3,Stipendien und Stipendien,TIGP-X-Pilotprogramm,Frage:,akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"OK! Gemäß der obigen Textbeschreibung schlage ich vor, dass Sie bei der Beantwortung von Fragen versuchen, den alltäglichen Sprechton zu verwenden und die Verwendung von Partikeln zu vermeiden.

Zum Beispiel „bitte“, „ja“, „ji“, „ji“, „get“, „get“, „Xu“, „Xu“, „Xu“, „Xu“, „Xu“, „Xu“ „, „Xu“, „Xu“, „Xu“, „Xu“, „Xu“"
4,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Wenn die Anzahl der von Forschern der Academia Sinica empfohlenen TIGP-X-Doktoranden derselben Stufe begrenzt ist, warum sollten die Studenten dann sorgfältig ausgewählt und auf einen Fall beschränkt werden?",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Wenn die Anzahl der von Forschern der Academia Sinica empfohlenen TIGP-X-Doktoranden derselben Stufe begrenzt ist, warum sollten die Studenten dann sorgfältig ausgewählt und auf einen Fall beschränkt werden? Dies liegt vor allem daran, dass die Zahl der von Forschern der Academia Sinica empfohlenen TIGP-X-Doktoranden begrenzt ist. Daher müssen die Studierenden sorgfältig ausgewählt und auf einen Fall beschränkt werden, um eine Überschreitung der Quote zu vermeiden. Auf diese Weise hat jeder Student die Möglichkeit, am TIGP-X-Pilotprogramm teilzunehmen und die Möglichkeit zu erhalten, mit Weltklasse-Universitäten in der Forschung zusammenzuarbeiten."
5,Stipendien und Stipendien,TIGP-X-Pilotprogramm,Frage:,akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"OK! Basierend auf der obigen Textbeschreibung empfehle ich, bei der Beantwortung von Fragen einen alltäglichen Sprechton zu verwenden und auf die Verwendung von Partikeln zu verzichten.

Frage: Bitte erläutern Sie die Bewerbungsfrist und das Bewerbungsverfahren für das TIGP-X-Pilotprogramm.

Antwort: Der Bewerbungszeitraum für das TIGP-X-Pilotprogramm ist jedes Jahr vom 1. Januar bis 31. März. Der Bewerbungsprozess besteht darin, zuerst das Bewerbungsformular einzureichen und dann das Empfehlungsschreiben und den Forschungsplan einzureichen. Als WIG ausgewählt"
6,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Wenn es eine bestimmte Frist für den Abschluss des Verbundforschungsprojekts des TIGP-X-Pilotprogramms gibt, warum müssen wir das trotzdem tun?",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Wenn es eine bestimmte Frist für den Abschluss des Verbundforschungsprojekts des TIGP-X-Pilotprogramms gibt, warum sollte diese bei der Bewerbung angegeben werden? Denn hierdurch soll sichergestellt werden, dass die Zusammenarbeit zwischen Antragsteller und Partnerinstitution reibungslos ablaufen kann und die von der Academia Sinica zur Förderung freigegebene Quote an Doktoranden effektiv ausgenutzt werden kann. Darüber hinaus kann der Antragsteller, wenn für den Abschluss des kooperativen Forschungsprojekts eine bestimmte Frist festgelegt ist, die Reiseroute entsprechend dieser Frist festlegen, um Verzögerungen im Verlauf zu vermeiden, weil er nicht rechtzeitig nach Taiwan kommen kann."
7,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Okay, lassen Sie uns zunächst besprechen, was der Stipendieninhalt des „TIGP-X-Pilotprogramms“ ist.",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Nun, laut Textbeschreibung gibt es im „TIGP-X Pilot Program“ zwei Arten von Stipendien. Die erste ist das „TIGP-X Academia Sinica Scholarship for International Doctoral Students“. Während des Studienzeitraums an der Academia Sinica , zahlen Forscher der Academia Sinica und der Academia Sinica NT$ pro Monat. Die Stipendien in Höhe von 34.000 NT$ und 16.000 NT$ gelten grundsätzlich; der zweite Typ ist „TIGP-X International Doctoral Students of Academia Sinica“, der im Zeitraum von vergeben wird Studium an der Academia Sinica."
8,Stipendien und Stipendien,TIGP-X-Pilotprogramm,Frage: Was sind die Stipendien des TIGP-X-Pilotprogramms?,akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Der Textbeschreibung zufolge gibt es zwei Arten von Stipendien für das TIGP-X-Pilotprogramm. Die erste ist das „TIGP-X Academia Sinica-Stipendium für internationale Doktoranden“. Während des Studienzeitraums an der Academia Sinica werden Forscher der Academia Sinica und der Academia Sinica gefördert Sinica zahlt 34.000 NT$ bzw. 16.000 NT$ pro Monat. Das Prinzip besteht darin, Stipendien für Yuan-Studenten bereitzustellen; die zweite Art ist „TIGP-“"
9,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Antwort: Zu den Stipendien des TIGP-X-Pilotprogramms gehört der erste Typ, das „TIGP-X Academia Sinica-Stipendium für internationale Doktoranden“. Während des Studienzeitraums an der Academia Sinica zahlen Forscher der Academia Sinica und der Academia Sinica 34,0 NT$ pro Monat jeweils.",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Gemäß der obigen Textbeschreibung gibt es zwei Arten von Stipendien des TIGP-X Qiot-Programms. Eine davon ist das „TIGP-X Academia Sinica-Stipendium für internationale Doktoranden“. Während des Studienzeitraums an der Academia Sinica erhalten Forscher der Academia Sinica und Academia Sinica zahlen jeweils 34.000 NT$ pro Monat. Das Prinzip besteht darin, ein Stipendium in Höhe von 16.000 RMB bereitzustellen; das andere ist „TIGP-X Academia Sinica International Doctoral Students“, das Stipendium während der Studienzeit an der Academia Sinica"
10,Stipendien und Stipendien,TIGP-X-Pilotprogramm,Sie haben Fragen zu den Servicepunkten und Anleitungen des TIGP-X-Pilotprogramms? (lachen),akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Leider kann ich Ihre Frage nicht mithilfe von Partikeln beantworten, da ich die Frage anhand der Textbeschreibung beantworte. Ich werde jedoch trotzdem versuchen, Ihre Fragen zu beantworten.

Was zunächst die Flugtickets für TIGP-X-Doktoranden betrifft, müssen die ausgewählten Kandidaten laut Text im Voraus bezahlen, und dann wird die Academia Sinica sie stornieren. Wenn der Antragsteller von der Academia Sinica einen Zuschuss erhält, wird er oder sie zum Co-Betreuer der TIGP-X-Doktoranden während ihrer Forschung an der Academia Sinica."
11,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Was sollte also Ihrer Meinung nach getan werden, wenn ein TIGP-X-Doktorand während seines Aufenthalts an der Academia Sinica aus persönlichen Gründen seinen Aufenthalt in Taiwan um mehr als zwei Wochen verlängern muss?",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Muss ein TIGP-X-Doktorand aus persönlichen Gründen während seines Aufenthalts an der Academia Sinica seinen Aufenthalt in Taiwan um mehr als 2 Wochen verlängern, kann er oder sie vorschriftsmäßig beim International Office eine Verlängerung beantragen und kann das Stipendium erst nach Bewilligung weiterbeziehen. Sollten Sie jedoch aus persönlichen Gründen für mehr als 2 Wochen ausreisen müssen, wird das Stipendium entsprechend den gesetzlichen Bestimmungen ausgesetzt."
12,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Was ist zu tun, wenn ein TIGP-X-Doktorand an der Academia Sinica forscht, wenn die Forschungsergebnisse geistige Eigentumsrechte betreffen?",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Wenn die Forschungsergebnisse ausgewählter TIGP-X-Doktoranden während ihrer Forschung an der Academia Sinica Rechte an geistigem Eigentum beinhalten, werden sie gemäß der obigen Textbeschreibung gemäß den „Bestimmungen über die Zuordnung und Nutzung wissenschaftlicher und technologischer Forschung“ behandelt Entwicklungsergebnisse der Academia Sinica“."
13,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Was ist zu tun, wenn ein für TIGP-X ausgewählter Doktorand während seiner Forschung an der Academia Sinica gegen die akademische Ethik verstößt?",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Wenn ein TIGP-X-Doktorand während seiner Forschung an der Academia Sinica gegen die akademische Ethik verstößt und bestraft wird, wird er gemäß der obigen Textbeschreibung gemäß den „Establishment and Operation Key Points of Ethics Committees at All Levels of Academia“ behandelt Sinica. Die konkreten Inhalte werden entsprechend den Vorschriften behandelt."
14,Stipendien und Stipendien,TIGP-X-Pilotprogramm,"Okay, hier sind die Fragen, die mit einem Fragezeichen enden, basierend auf den Servicepunkten und Servicebeschreibungen, im täglichen Tonfall:",akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Okay, basierend auf der Textbeschreibung lauten meine Fragen wie folgt:

Wenn Forscher der Academia Sinica Kooperationspartner mit ausländischen akademischen Forschungseinrichtungen aushandeln, sind ihre Partner dann nicht auf Institutionen beschränkt, die Absichtserklärungen unterzeichnet haben?

Warum ist es notwendig, dass die Zugehörigkeit und das Zentrum der Forscher der Academia Sinica die Absichtserklärung unterzeichnen?

Welche drei akademischen Hauptbereiche der Academia Sinica eignen sich für das TIGP-X-Pilotprogramm?"
15,Stipendien und Stipendien,TIGP-X-Pilotprogramm,Ach du lieber Gott! hatte nicht erwartet! Academia Sinica hat tatsächlich ein supermysteriöses Projekt namens TIGP-X Pilot Program! (Ausrufezeichen),akademisch,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Hmm...ah...Academia Sinica hat wirklich dieses TIGP-X-Pilotprogramm! Hierbei handelt es sich um einen Kooperationsplan für drei große akademische Bereiche, der jedoch nicht auf Institutionen beschränkt ist, die das MOU unterzeichnet haben. (sanfterer Ton)

Ach du lieber Gott! Können Forscher der Academia Sinica das MOU wirklich mit ihrem Namen unterzeichnen? (Fragezeichen)

Hmm...ah...ja...die Institute und Zentren, denen Forscher der Academia Sinica angehören, können die Absichtserklärung unterzeichnen! (sanfterer Ton)"
