index,category,title,question,group,url,contact,answer
0,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,"Oh! Eh bien, tu sais quoi ? Le Yuan exécutif a en fait des réglementations concernant le remboursement des frais de voyage des fonctionnaires de diverses agences du gouvernement central ! ! (ton déroutant)",Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,Oh! ah ! C'est exact! Le Yuan exécutif a formulé des réglementations pour standardiser les points clés de la déclaration des frais de voyage des fonctionnaires des diverses agences du gouvernement central ! (ton de confirmation)
1,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,"Genre, tu sais quoi ? Ils ont établi un « Règlement exécutif du Yuan » (long soupir) pour réglementer la manière dont les fonctionnaires de diverses agences doivent rembourser les frais de voyage lorsqu'ils voyagent à l'étranger pour des raisons officielles (expression de surprise) ! !",Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"Eh bien... ah... ils ont mis en place un « Règlement exécutif du Yuan » (long soupir), qui doit réglementer la manière dont les fonctionnaires de diverses agences doivent rembourser les frais de voyage lorsqu'ils voyagent à l'étranger pour des raisons officielles (expression de surprise) ! ! Euh... ah... ce « Règlement exécutif du Yuan » (long soupir) est de réglementer la manière dont les fonctionnaires de diverses agences doivent rembourser les frais de voyage lorsqu'ils voyagent à l'étranger (expression de surprise) ! ! Euh…"
2,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,Alors voici la question (étendue,Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"certainement! Selon la description textuelle ci-dessus, lorsque je répondrai aux questions, j'utiliserai le ton du discours quotidien et j'éviterai d'utiliser des particules.

Question : Voici donc la question (Extended

Réponse : Viens."
3,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,"OK, voici quelques questions qui se terminent par un point d'interrogation :",Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"OK, je répondrai à vos questions sur un ton décontracté et j'éviterai d'utiliser des verbes auxiliaires.

Question 1 : Que signifie « absent du bureau » ?
Réponse : Absent du bureau fait référence au moment où un employé du gouvernement n'est pas à son bureau ou ne travaille pas.

Question 2 : Quelle est la différence entre « visite officielle » et « visite non officielle » ?
Réponse : Une visite officielle est une visite officiellement approuvée et planifiée, alors qu'une visite officielle est une visite officiellement approuvée et planifiée, alors qu'une visite officielle est une visite officiellement approuvée et planifiée."
4,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,"Si un employé du gouvernement est invité par un gouvernement ou une organisation étrangère pour une visite officielle, quel type de tâches peut-il effectuer pendant le voyage ? 🤔",Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"Selon le ton du discours quotidien, le terme « voyage d'affaires » dans ce point désigne un fonctionnaire qui se rend à l'étranger pour effectuer l'une des tâches suivantes avec l'accord du chef de l'agence :
(1) Visites à l’étranger sur invitation formelle de gouvernements étrangers, de la société civile ou d’organisations internationales.
(2) Effectuer des visites pertinentes pour des besoins diplomatiques.
(3) Représenter le gouvernement lors de conférences ou de négociations internationales.
(4) Se rendre à l'étranger pour une inspection ou une inspection en raison de besoins commerciaux.
(5) Autres fonctions officielles.
Ainsi, si un employé du gouvernement"
5,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,Quels sont les besoins diplomatiques qui obligent un employé du gouvernement à partir à l’étranger ? 🤔,Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"Besoins diplomatiques, inspections officielles à l’étranger et participation à des réunions ou négociations internationales au nom du gouvernement."
6,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,À quel genre de conférences ou de négociations internationales un employé du gouvernement représenterait-il le gouvernement ?,Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"Selon le texte fourni, un employé du gouvernement représenterait le gouvernement pour assister à des conférences ou négociations internationales liées aux tâches suivantes :

1. Invitations officielles de gouvernements étrangers, d'organisations civiles ou d'organisations internationales.
2. Besoins diplomatiques pour les visites à l'étranger.
3. Représenter le gouvernement lors de réunions ou de négociations internationales.
4. Besoins administratifs pour les visites à l'étranger.
5. Autres questions officielles."
7,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,D'accord pas de problème! Voici quelques questions pour vous :,Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"D'accord pas de problème! Voici quelques questions pour vous :

1. Que pensez-vous de la durée du voyage ?

2. Quel est le but du voyage ?

3. Êtes-vous enthousiasmé par le voyage ?

4. Avez-vous des doutes sur le voyage ?

5. Comment pensez-vous que le voyage se déroulera ?

6. Qu’espérez-vous retirer de ce voyage ?

7. Comment planifiez-vous"
8,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,"Si un membre du personnel est en voyage d'affaires et que son voyage est prévu pour 3 jours, mais qu'il souhaite revenir plus tôt, peut-il le faire sans obtenir l'approbation de son superviseur ?",Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"Selon le texte, si un voyageur d'affaires souhaite mettre fin à son voyage plus tôt, il doit obtenir au préalable l'accord du responsable de l'agence, à moins qu'il n'y ait des raisons qui ne peuvent être imputées au voyageur d'affaires. Par conséquent, si les voyageurs d'affaires souhaitent rentrer chez eux plus tôt, ils doivent d'abord se présenter au chef de l'agence, sinon ils ne seront pas autorisés à rentrer chez eux plus tôt. Par conséquent, la réponse est que vous ne pouvez pas retourner directement dans le pays à l’avance, vous devez d’abord obtenir une autorisation."
9,Remboursement des frais de déplacement pour les déplacements professionnels à l'étranger,Règlement du Yuan exécutif,"Alors, avez-vous récemment effectué un voyage d’affaires et quelles dépenses avez-vous remboursées ?",Financement,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Bureau de comptabilité de l'Academia Sinica,"J'ai récemment effectué un voyage d'affaires à l'étranger et j'ai été remboursé des frais de transport, de subsistance et de bureau."
